Statistic,Value
Mean Annual Scarcity,1.986187180041086
Mean Variability,21.865055419931938
Mean Surplus Capacity,2.710860438219549
Mean Deficit Severity,19.15419498171239
Mean Storage Adequacy,0.7615773219289484
Storage Adequacy Points Distribution,[124 196 680]
