scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.248478,9.90809,12.24385,10.79427,14.992900999999998,0.472031,12.99002,0.711928,0.37821,0.440712,1,2,1,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.236478,9.8514,12.18414,10.74512,14.949618,0.470281,12.95188,0.710072,0.377627,0.439758,1,2,2,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.202375,9.79668,12.18117,10.75533,14.813282,0.470817,12.81294,0.712068,0.378069,0.439388,1,2,3,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.262252,9.93166,12.29237,10.83003,15.175966999999998,0.471222,13.17061,0.713006,0.3786199999999999,0.442509,1,2,4,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.200077,9.72421,12.04876,10.63785,14.818489,0.4681979999999999,12.82923,0.706508,0.376513,0.43804,1,2,5,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.248153,9.85081,9.24147,10.52774,14.443306,0.472667,12.49954,0.6906869999999999,0.375826,0.404586,1,1,1,2,1,1,3,6,3,2,1
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.265936,9.82475,11.71387,10.81438,15.165801,0.473417,13.17576,0.7073039999999999,0.375385,0.433935,1,1,2,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.205073,9.81297,9.36492,10.51818,14.376429000000002,0.466575,12.43586,0.692399,0.376369,0.405226,1,1,3,2,1,1,3,6,3,2,1
ssp_socio3_ag1_gwlo_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.264019,9.86373,8.668140000000001,10.51836,14.408097000000001,0.471724,12.47016,0.689379,0.377328,0.399506,1,1,4,2,1,1,3,6,3,4,1
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.220143,9.63688,9.73173,10.41725,14.56953,0.469448,12.62289,0.6908920000000001,0.37527,0.41103,1,1,5,2,1,1,3,6,3,2,1
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.2338,9.89713,12.2558,10.79861,14.953008,0.472231,12.94937,0.7121810000000001,0.3785409999999999,0.440685,2,2,1,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.230011,9.84813,12.19491,10.75063,14.928647999999999,0.470409,12.93006,0.710331,0.377927,0.439921,2,2,2,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.18952,9.7864,12.19033,10.7587,14.776721000000002,0.471422,12.77574,0.7119329999999999,0.378339,0.439287,2,2,3,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.243013,9.91737,12.30897,10.83976,15.118886999999999,0.47144,13.11191,0.7137089999999999,0.379297,0.442531,2,2,4,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.180847,9.71508,12.07197,10.64811,14.779046,0.46879,12.78821,0.706674,0.377138,0.438234,2,2,5,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.209659,9.89646,9.17028,10.55497,14.284673999999999,0.4687739999999999,12.34349,0.6921269999999999,0.376925,0.403358,2,1,1,2,1,1,3,6,3,2,1
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.239001,9.82917,11.66453,10.81996,15.048951999999998,0.472729,13.05914,0.708045,0.375793,0.433245,2,1,2,2,1,1,3,6,3,0,1
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.168539,9.79084,9.37348,10.52081,14.28904,0.467051,12.34814,0.6923819999999999,0.376275,0.405192,2,1,3,2,1,1,3,6,3,2,1
ssp_socio3_ag1_gwmed_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.21343,9.91166,8.60801,10.52869,14.233277,0.46824,12.29993,0.689389,0.377754,0.397964,2,1,4,2,1,1,3,6,3,4,1
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.158659,9.67474,9.60501,10.41227,14.340025,0.465226,12.400860000000002,0.690117,0.375328,0.408494,2,1,5,2,1,1,3,6,3,2,1
ssp_socio3_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.540279,9.94155,11.48029,10.27143,14.955602,0.482057,12.90751,0.7447590000000001,0.360946,0.46033,3,2,1,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.540856,9.88918,11.42447,10.24078,14.913352,0.482699,12.86755,0.742397,0.360909,0.459797,3,2,2,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.496999,9.84683,11.43466,10.25068,14.780434000000001,0.483412,12.73272,0.7435149999999999,0.361532,0.459255,3,2,3,2,1,5,3,6,3,0,1
