scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal
ssp_ag3_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.74545,14.073379999999998,0.0625901,0.00768005,7.145940980000001,1.351633,0.0252982,0.103834,5.53458,0.0992467,0.03134908,3,1,1,1,2,3,3,1
ssp_ag3_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.3494150000000005,14.31974,0.0592841,0.00849221,6.538953589999998,1.1700780000000002,0.02463682,0.1050851,5.105779999999998,0.0937906,0.03958307,3,1,1,2,2,3,3,1
ssp_ag3_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.74142,14.02528,0.0622031,0.00767222,7.14187399,1.3480219999999998,0.02535151,0.1035527,5.53463,0.0991233,0.03119448,3,1,2,1,2,3,3,1
ssp_ag3_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.360657,14.27939,0.0589196,0.00847152,6.5439412699999995,1.16908,0.02474117,0.1048833,5.1119200000000005,0.0937556,0.0395612,3,1,2,2,2,3,3,1
ssp_ag3_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.74483,14.1317,0.0625285999999999,0.00772451,7.200776739999999,1.357916,0.02550574,0.1041077,5.58221,0.0995755,0.0314618,3,1,3,1,2,3,3,1
ssp_ag3_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.337083,14.32695,0.0590275,0.00850632,6.56078695,1.1722199999999998,0.02478513,0.1051323999999999,5.12509,0.0938809,0.03967852,3,1,3,2,2,3,3,1
ssp_ag3_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.81551,14.18526,0.063309,0.00777106,7.216742710000002,1.362082,0.02551201,0.1053823,5.591760000000002,0.1003049999999999,0.0317014,3,1,4,1,2,3,3,1
ssp_ag3_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.378539,14.35136,0.0594418,0.00852131,6.56379946,1.1679389999999998,0.02464614,0.1057494999999999,5.1319,0.0938263999999999,0.03973842,3,1,4,2,2,3,3,1
ssp_ag3_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.78235,14.15915,0.0629289,0.00775131,7.23106043,1.368052,0.02577163,0.1053265,5.5993900000000005,0.1007671,0.0317531999999999,3,1,5,1,2,3,3,1
ssp_ag3_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.345362000000001,14.28672,0.0588271999999999,0.00847654,6.55938644,1.174955,0.02486119,0.1055412,5.12014,0.0941174,0.03977165,3,1,5,2,2,3,3,1
