scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_socio2_ag5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0073066699999999,22.57326,0.01328953,3.86935,3.8327707549999994,0.0113502,3.79981,0.01807873,0.001171805,0.00236002,2,2,3,1,1,5,2,2,5,6,5,7,4,0,3
ssp_socio2_ag5_gwmed_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00802896,24.3594,0.01461546,4.20038,4.288879212,0.01211275,4.25349,0.01942114,0.0012875719999999,0.00256775,2,2,4,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwmed_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00802412,24.3633,0.01444446,4.17017,4.17444496,0.01229813,4.13869,0.0195896,0.00129629,0.00257094,2,2,5,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00778389,23.7785,0.01420046,4.0195300000000005,4.173982665,0.01185257,4.13961,0.0188301,0.001228765,0.00246123,2,1,1,1,1,5,2,2,0,6,5,7,4,0,3
ssp_socio2_ag5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0078728,24.0363,0.01425876,4.11785,4.2115203569999995,0.01190623,4.17681,0.01907153,0.001244397,0.0024882,2,1,2,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwmed_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00803219,24.5084,0.01474875,4.26042,4.377550185,0.0120733,4.34216,0.0194685,0.001281375,0.00256701,2,1,4,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwmed_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00802691,24.4391,0.01456506,4.2359800000000005,4.328990564000001,0.01228338,4.29322,0.01962312,0.001291184,0.00257288,2,1,5,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00889938,36.809,0.0168632399999999,4.232130000000001,5.529969851000001,0.01146164,5.49673,0.01714753,0.001384481,0.0032462,3,2,1,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00865998,36.8381,0.0175407,4.412059999999999,5.826400998,0.00955419,5.7887,0.0218483,0.001884368,0.00441414,3,2,1,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00902204,37.2232,0.01704091,4.3040400000000005,5.630370632999999,0.01163892,5.59662,0.01740375,0.001407703,0.00330026,3,2,2,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00869926,36.873000000000005,0.01753422,4.42056,5.841710015000001,0.00959151,5.8038500000000015,0.0219387,0.001894725,0.00443508,3,2,2,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00843988,35.5624,0.01626282,4.16399,5.306322889,0.01116824,5.27388,0.01676799,0.001342469,0.00316419,3,2,3,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00847151,36.4087,0.01741096,4.3944100000000015,5.7422187419999995,0.00953688,5.70455,0.0218494,0.001883622,0.0043988399999999,3,2,3,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0091686,37.8243,0.0174487399999999,4.436719999999999,5.8088861199999995,0.011713,5.774649999999999,0.0177141099999999,0.00143628,0.00337273,3,2,4,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00872496,37.0519,0.01767933,4.444839999999999,5.925503483000001,0.0096037,5.88759,0.02196543,0.0018953829999999,0.00444897,3,2,4,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00903827,37.6959,0.01731932,4.41105,5.659122723000001,0.01187692,5.624560000000002,0.01785709,0.0014496429999999,0.00337907,3,2,5,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00861583,36.859,0.017595,4.43865,5.854021642,0.00966916,5.815840000000001,0.02211875,0.001915652,0.00447808,3,2,5,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00888881,37.0138,0.01703643,4.30501,5.645782086,0.01139126,5.61267,0.01711913,0.001371776,0.00322992,3,1,1,1,1,1,3,4,0,3,0,6,1,4,3
