scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.81551,14.18526,0.063309,0.00777106,7.216742710000002,1.362082,0.02551201,0.1053823,5.591760000000002,0.1003049999999999,0.0317014,3,1,4,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.378539,14.35136,0.0594418,0.00852131,6.56379946,1.1679389999999998,0.02464614,0.1057494999999999,5.1319,0.0938263999999999,0.03973842,3,1,4,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.78235,14.15915,0.0629289,0.00775131,7.23106043,1.368052,0.02577163,0.1053265,5.5993900000000005,0.1007671,0.0317531999999999,3,1,5,1,2,3,3,1,1,7,4,0,2
ssp_ag3_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.345362000000001,14.28672,0.0588271999999999,0.00847654,6.55938644,1.174955,0.02486119,0.1055412,5.12014,0.0941174,0.03977165,3,1,5,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.77918,14.02915,0.0620233,0.00762974,7.1011882,1.3624379999999998,0.02538932,0.1039841999999999,5.4789,0.0990525,0.03142418,1,2,1,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.397652,14.3002,0.058937,0.00845508,6.531435990000001,1.168755,0.02462016,0.1054787,5.0993,0.0937659,0.03951623,1,2,1,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.77344,13.990470000000002,0.0619346,0.00763497,7.14425052,1.350376,0.02537707,0.103489,5.53463,0.0992002,0.03117825,1,2,2,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.3861930000000005,14.26544,0.0587859,0.00844377,6.536012609999999,1.170015,0.02471059,0.1054317,5.10251,0.093817,0.03952832,1,2,2,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.77959,14.0731,0.0621108,0.00767109,7.186474150000002,1.361318,0.02557775,0.103744,5.564780000000002,0.099635,0.0314194,1,2,3,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.368255,14.29278,0.0586942,0.00846598,6.5543381,1.173,0.02485535,0.1045789,5.11834,0.0939681,0.03959575,1,2,3,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwlo_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.87026,14.1849,0.0628817,0.00773099,7.21135936,1.361996,0.02549656,0.1058349,5.586080000000001,0.1002823,0.0316696,1,2,4,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.434519,14.36343,0.0592119,0.00848783,6.54401422,1.171003,0.02456507,0.1068971,5.10808,0.0937908,0.03967825,1,2,4,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.85785,14.1627,0.0623858,0.00771519,7.225060170000001,1.3657709999999998,0.02575737,0.1054542,5.5959,0.1004911,0.0316865,1,2,5,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.415015,14.27972,0.0583281999999999,0.00844679,6.5578189700000005,1.171049,0.02486064,0.1054087,5.12288,0.0939643999999999,0.03965623,1,2,5,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.89655,14.1282,0.0621306,0.00767123,7.11252035,1.344947,0.02492861,0.1062653,5.506530000000001,0.0985054,0.03134404,1,1,1,1,2,3,3,1,1,7,6,0,2
