scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag2_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.77311000000001,12.15876,5.03819,0.514033,31.511249,2.3069610000000003,3.4387830000000004,13.35441,3.152403,5.2945,3.964192,1,2,1,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.97995,12.18493,5.03659,0.516087,31.711103,2.32205,3.473882,13.43175,3.1712100000000003,5.32465,3.987561,1,2,2,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.450940000000006,12.11936,4.99638,0.514103,31.350023,2.303982,3.4521589999999995,13.18157,3.15776,5.29394,3.960612,1,2,3,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.943620000000006,12.18211,5.0457600000000005,0.5149710000000001,31.659150999999998,2.2997050000000003,3.41404,13.53376,3.151992,5.2871,3.972554,1,2,4,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,28.08107,12.2039,4.99775,0.516154,31.748983,2.329353,3.51419,13.37659,3.18339,5.34117,4.00429,1,2,5,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwlo_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,25.22735,9.78993,5.11278,0.493906,28.557167,1.907069,3.3407980000000004,12.16747,2.580997,4.88168,3.679153,1,1,1,2,2,2,3,6,3,2,5,3,1,3,4
ssp_ag2_soc3_gwlo_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,26.64723,10.85032,5.0879900000000005,0.505736,30.134671,2.086801,3.4064330000000003,12.879,2.84893,5.08311,3.830397,1,1,2,2,2,2,3,6,6,2,5,1,2,3,4
ssp_ag2_soc3_gwlo_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,21.22379,6.79245,5.12376,0.4629149999999999,24.214004,1.424845,3.264803,10.08763,1.824595,4.33889,3.273241,1,1,3,2,2,2,3,2,3,2,5,2,7,7,4
ssp_ag2_soc3_gwlo_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,22.88692,7.78552,5.15201,0.472426,25.779013,1.568769,3.261386,10.93964,2.0859080000000003,4.51216,3.41115,1,1,4,2,2,2,3,4,3,2,5,2,7,7,4
ssp_ag2_soc3_gwlo_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,21.77507,6.90632,5.11449,0.462395,24.613758,1.432927,3.3188910000000003,10.2748,1.886633,4.3935900000000006,3.306917,1,1,5,2,2,2,3,2,3,2,5,2,7,7,4
