scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal
ssp_ag3_soc3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0475645,4.017869999999999,1.593176,0.561833,17.092578,3.4701699999999995,9.53604,0.480335,0.0576396999999999,3.30196,0.2464333,2,2,2,1,2,3,3,7
ssp_ag3_soc3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.046429,3.93089,1.5517690000000002,0.5488729999999999,16.7289588,3.393,9.3452,0.468631,0.056503,3.2242999999999995,0.2413248,2,2,3,1,2,3,3,7
ssp_ag3_soc3_gwmed_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0464628,3.92399,1.562098,0.548584,16.633122200000003,3.37305,9.26767,0.471101,0.0562663,3.22371,0.2413248999999999,2,2,4,1,2,3,3,7
ssp_ag3_soc3_gwmed_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.046985,3.96997,1.569432,0.554562,16.945908199999998,3.42547,9.46926,0.476818,0.0570791999999999,3.27274,0.2445409999999999,2,2,5,1,2,3,3,7
ssp_ag3_soc3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0477423,4.0413700000000015,1.6030919999999995,0.564979,17.0040661,3.46186,9.45975,0.485056,0.0576121,3.29221,0.247578,2,1,1,1,2,3,3,7
ssp_ag3_soc3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0478028,4.03362,1.596888,0.565346,17.052120600000002,3.46111,9.50543,0.483824,0.0577742,3.29727,0.2467123999999999,2,1,2,1,2,3,3,7
ssp_ag3_soc3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0468787,3.95935,1.56015,0.5541200000000001,16.6816074,3.39762,9.29127,0.475023,0.0565914999999999,3.21882,0.2422828999999999,2,1,3,1,2,3,3,7
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0469513,3.94817,1.569806,0.5531159999999999,16.5840901,3.37524,9.21467,0.477192,0.0563958,3.2183400000000004,0.2422522999999999,2,1,4,1,2,3,3,7
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0472171999999999,3.97905,1.575351,0.557769,16.903673,3.42669,9.42445,0.481841,0.0570605,3.26836,0.2452715,2,1,5,1,2,3,3,7
ssp_socio3_ag3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.047425,4.02393,1.5985010000000002,0.561338,17.0904073,3.47382,9.53086,0.480621,0.0575023,3.30004,0.2475639999999999,3,2,1,1,1,3,3,7
