scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.974069,66.5811,149.9078,78.7025,63.710195,1.119153,41.4339,15.97784,3.58653,1.592772,1,2,1,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.30524,60.6503,140.9771,67.7502,54.679817,1.031895,34.058,15.25876,3.0283,1.3028620000000002,1,2,2,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.983418,66.8238,150.3014,79.0929,64.12989,1.12636,41.6995,16.087229999999998,3.61384,1.60296,1,2,2,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.28525,61.4449,142.2518,68.3931,55.128214,1.056615,34.2075,15.47916,3.05999,1.324949,1,2,3,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.951285,66.87140000000001,151.0946,79.6794,64.130611,1.135253,41.5086,16.23572,3.64036,1.610678,1,2,3,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.37636,61.7302,144.4907,68.8399,55.976991,1.043734,35.0354,15.47047,3.09448,1.332907,1,2,4,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.014456,67.24,151.5676,79.5623,64.80784300000002,1.126443,42.33190000000001,16.12246,3.61629,1.61075,1,2,4,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.24395,60.0103,139.6489,66.8103,54.392806,1.032401,33.8621,15.15717,3.03872,1.302415,1,2,5,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.948972,66.3139,149.40820000000005,78.7242,63.976804,1.126943,41.5269,16.092660000000002,3.62384,1.606461,1,2,5,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.19401,59.70350000000001,116.055,57.7792,47.161432999999995,1.026182,29.0624,12.89464,2.89821,1.280001,1,1,1,1,1,1,3,6,7,3,0,7,7
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.998754,66.5526,142.3737,76.8255,62.041334000000006,1.129181,40.5778,15.19052,3.53837,1.605463,1,1,1,2,1,1,3,6,6,0,3,5,7
