scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_ag4_soc4_gwlo_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.762770000000001e-06,0.367314,0.5718380000000001,0.560738,0.00336043,0.552232,0.00261957,0.001156326,0.001799745,0.001369674,1,1,5,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.960369999999999e-06,0.376954,0.5849,0.5720536370000001,0.00344659,0.5633360000000001,0.00268707,0.001183128,0.001840738,0.001400849,2,2,1,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.887710000000001e-06,0.370174,0.572071,0.560184816,0.00337925,0.551628,0.00264587,0.00116369,0.001811364,0.001368006,2,2,2,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.99376e-06,0.3822910000000001,0.5906939999999999,0.5775241399999999,0.00348987,0.5686979999999999,0.00272758,0.001196757,0.001868986,0.001411933,2,2,3,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.69723e-06,0.363721,0.566032,0.554032557,0.00331843,0.545619,0.00259338,0.001146131,0.001788532,0.001355616,2,2,4,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.67615e-06,0.366093,0.572028,0.5593047739999999,0.00336,0.5508,0.00261879,0.001156309,0.001802674,0.001369675,2,2,5,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.90054e-06,0.380412,0.585966,0.5739742069999997,0.00345612,0.565228,0.00269952,0.001186304,0.001842737,0.0014042629999999,2,1,1,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.904630000000001e-06,0.371784,0.571966,0.560323248,0.00337684,0.55177,0.00264553,0.001163131,0.001808849,0.001367747,2,1,2,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.422969999999999e-06,0.361081,0.57282,0.5542289289999999,0.00331553,0.545724,0.00266245,0.001158311,0.001813604,0.001368638,2,1,3,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.77375e-06,0.36516,0.547567,0.5417669679999999,0.00327922,0.5334399999999999,0.00259393,0.001136502,0.001741868,0.001317316,2,1,4,1,2,4,4,0,5
ssp_ag4_soc4_gwmed_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.64947e-06,0.369384,0.570191,0.559741669,0.00337102,0.551207,0.00263345,0.001162661,0.001801902,0.001367538,2,1,5,1,2,4,4,0,5
ssp_socio4_ag3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.007398e-05,0.4536229999999999,0.576426,0.6238142219999999,0.00421387,0.6126429999999999,0.00402916,0.001538196,0.001916297,0.001389996,3,2,1,1,1,3,4,4,5
ssp_socio4_ag3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.000492e-05,0.4468569999999999,0.567063,0.6143508609999999,0.00415103,0.6033270000000001,0.00398712,0.001520928,0.001895115,0.0013647829999999,3,2,2,1,1,3,4,4,5
ssp_socio4_ag3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.010426e-05,0.4604069999999999,0.5845009999999999,0.6322720619999999,0.00427946,0.620924,0.00409801,0.0015643529999999,0.001953026,0.0014062389999999,3,2,3,1,1,3,4,4,5
ssp_socio4_ag3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.76285e-06,0.438988,0.561184,0.6069116399999999,0.00407149,0.596089,0.00390314,0.001495725,0.001871226,0.001352285,3,2,4,1,1,3,4,4,5
ssp_socio4_ag3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.83057e-06,0.437654,0.544068,0.5944225709999998,0.0040556,0.583639,0.00392531,0.0014857929999999,0.001828144,0.001316868,3,2,5,1,1,3,4,4,5
ssp_socio4_ag3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.011721e-05,0.451125,0.5558390000000001,0.6072497,0.0041236,0.596246,0.00402092,0.001515812,0.001859766,0.001343368,3,1,1,1,1,3,4,4,5
ssp_socio4_ag3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.002508e-05,0.4487990000000001,0.56725,0.614822866,0.00414775,0.6037980000000001,0.00399086,0.0015215239999999,0.001889592,0.001364732,3,1,2,1,1,3,4,4,5
ssp_socio4_ag3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.015208e-05,0.4626,0.584581,0.632883479,0.00427767,0.6215350000000001,0.0041005,0.0015643089999999,0.001951686,0.001406,3,1,3,1,1,3,4,4,5
ssp_socio4_ag3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.75009e-06,0.439484,0.5623,0.6063558069999998,0.00405909,0.5955729999999999,0.0038759999999999,0.00149433,0.00187103,0.001353387,3,1,4,1,1,3,4,4,5
