scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,74.97,48.2764,20.41903,1.452367,6.04518702801158,1.212981,1.9542080000000003e-08,1.420486,8.4695e-09,3.41172,1,2,1,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.8345,60.0981,15.67532,3.07818,11.843810011268502,3.58879e-09,2.8153200000000003,2.28196,7.67971e-09,6.74653,1,2,1,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,76.1803,69.00319999999999,41.7801,4.694190000000001,11.785113007850939,3.12494,3.583,1.642323,7.85094e-09,3.43485,1,2,2,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.1691,80.2079,34.0933,6.39438,19.15992400707733,0.416404,9.71254,2.46692,7.07733e-09,6.56406,1,2,2,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.5929,46.38370000000001,18.14315,1.41367,6.01737702838429,1.1578080000000002,1.97714e-08,1.420449,8.61289e-09,3.4391199999999995,1,2,3,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.1083,54.6512,11.61688,2.47674,9.171090027911852,3.7471e-09,1.612422e-08,2.2924900000000004,8.04053e-09,6.8786000000000005,1,2,3,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,78.25710000000002,57.5961,29.7495,2.77362,8.27087000855773,1.936059,1.221117,1.551914,8.55773e-09,3.56178,1,2,4,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,100.3209,65.4136,20.04341,3.86494,14.432610011171011,3.55128e-09,5.3083,2.34432,7.61973e-09,6.77999,1,2,4,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,70.1374,64.0622,38.9009,4.27481,11.249508007340621,3.02493,3.43761,1.5399379999999998,7.340620000000001e-09,3.24703,1,2,5,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,94.9357,76.9254,32.3721,6.1266300000000005,18.634868006956467,0.413068,9.30736,2.42951,6.956470000000001e-09,6.48493,1,2,5,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,75.9725,47.5512,20.95591,1.204181,5.80615302853295,0.991526,2.002616e-08,1.390207,8.50679e-09,3.42442,1,1,1,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,100.4829,57.1947,16.127380000000002,3.07871,12.97148001111859,3.56249e-09,3.99847,2.22783,7.5561e-09,6.74518,1,1,1,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,77.11399999999999,67.3557,43.2154,4.40113,11.7703060078703,2.94136,3.77233,1.6133160000000002,7.8703e-09,3.4433,1,1,2,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,99.7757,76.4635,35.818000000000005,6.35357,20.04773800698377,0.252038,10.80633,2.42594,6.98377e-09,6.56343,1,1,2,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,73.4614,46.0181,18.19059,1.3516439999999998,5.69876102892145,0.8561620000000001,2.027342e-08,1.405759,8.64803e-09,3.43684,1,1,3,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.7482,53.087,10.55025,2.4115,10.53534601164221,3.70761e-09,1.465216,2.2309400000000004,7.934600000000001e-09,6.839189999999999,1,1,3,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,79.06020000000002,56.8472,30.161,2.6213,8.154636008574,1.6820620000000002,1.3773650000000002,1.529239,8.574000000000001e-09,3.56597,1,1,4,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,102.2923,62.0568,20.67909,3.96009,15.3809500110535,3.53166e-09,6.29591,2.29748,7.521840000000001e-09,6.787560000000001,1,1,4,2,1,1,3,3,3,2
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,71.0719,62.0859,40.4473,4.0924,11.444535007348339,2.81025,3.86165,1.5166149999999998,7.34834e-09,3.25602,1,1,5,1,1,1,3,5,5,2
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.0454,72.5989,33.9938,6.0101,19.91557900685576,0.218329,10.82768,2.38036,6.855760000000001e-09,6.48921,1,1,5,2,1,1,3,3,3,2
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,74.6526,48.4994,20.59994,1.518134,6.0928360279096205,1.255961,1.9453040000000002e-08,1.427615,8.456580000000001e-09,3.40926,2,2,1,1,1,1,3,5,5,2
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.8242,60.3911,16.22581,3.16482,11.83763001127448,3.5899799999999996e-09,2.79523,2.2918700000000003,7.6845e-09,6.75053,2,2,1,2,1,1,3,3,3,2
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,76.04679999999998,69.2355,42.0306,4.76301,11.717241007855469,3.16265,3.4755,1.648721,7.855469999999999e-09,3.43037,2,2,2,1,1,1,3,5,5,2
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.6816,80.3003,34.4173,6.4423900000000005,19.13868500708149,0.440775,9.66182,2.4704300000000003,7.0814900000000005e-09,6.56566,2,2,2,2,1,1,3,3,3,2
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.1087,46.5107,18.5293,1.503973,6.02215902829704,1.162053,1.967265e-08,1.431346,8.62439e-09,3.42876,2,2,3,1,1,1,3,5,5,2
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,96.2138,54.94410000000001,12.07812,2.55626,9.18015002790262,3.74994e-09,1.610745e-08,2.2997300000000003,8.045229999999999e-09,6.880419999999999,2,2,3,2,1,1,3,3,3,2
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,77.6586,57.9563,30.1139,2.8368200000000003,8.34550600854758,1.996561,1.226102,1.559823,8.54758e-09,3.56302,2,2,4,1,1,1,3,5,5,2
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.989,65.8247,20.79597,4.00117,14.387450011193762,3.55621e-09,5.2423,2.36029,7.637549999999999e-09,6.784860000000001,2,2,4,2,1,1,3,3,3,2
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.5945,64.3362,39.4431,4.48477,10.991869007355021,3.06056,3.13245,1.556509,7.35502e-09,3.24235,2,2,5,1,1,1,3,5,5,2
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,93.5979,77.2133,33.176700000000004,6.24206,18.669456006966602,0.4857860000000001,9.25688,2.43699,6.9666e-09,6.489800000000002,2,2,5,2,1,1,3,3,3,2
