scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,74.6526,48.4994,20.59994,1.518134,6.0928360279096205,1.255961,1.9453040000000002e-08,1.427615,8.456580000000001e-09,3.40926,2,2,1,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,76.04679999999998,69.2355,42.0306,4.76301,11.717241007855469,3.16265,3.4755,1.648721,7.855469999999999e-09,3.43037,2,2,2,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.1087,46.5107,18.5293,1.503973,6.02215902829704,1.162053,1.967265e-08,1.431346,8.62439e-09,3.42876,2,2,3,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,77.6586,57.9563,30.1139,2.8368200000000003,8.34550600854758,1.996561,1.226102,1.559823,8.54758e-09,3.56302,2,2,4,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.5945,64.3362,39.4431,4.48477,10.991869007355021,3.06056,3.13245,1.556509,7.35502e-09,3.24235,2,2,5,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,75.0292,48.317,20.869020000000003,1.482373,5.89442702822842,1.071001,1.978057e-08,1.411756,8.447849999999999e-09,3.4116699999999995,2,1,1,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,76.25450000000002,69.1045,42.1006,4.80218,11.79803300783091,2.99616,3.73348,1.639303,7.83091e-09,3.42909,2,1,2,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.5824,46.4402,18.6042,1.451122,5.78461602877767,0.93528,2.014092e-08,1.415716,8.63675e-09,3.43362,2,1,3,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,77.9843,57.5851,30.5787,2.72985,8.19239500856262,1.774111,1.326594,1.53823,8.562620000000002e-09,3.55346,2,1,4,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.8486,63.6339,40.0377,4.31439,11.345706007349289,2.87889,3.6892,1.537266,7.349289999999999e-09,3.24035,2,1,5,1,1,1,3,5,5,2,4
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.4943,56.6081,44.8884,10.33052,25.351440999999998,2.75566,15.88243,1.647741,0.56582,4.49979,3,2,1,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,67.65180000000001,72.9596,64.0609,14.30409,30.728149,4.25159,18.8175,1.68144,1.783857,4.193762,3,2,2,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,68.846,51.11880000000001,38.581,9.11336,23.2882858,2.3204900000000004,14.60188,1.632682,0.1418267999999999,4.591407,3,2,3,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwhi_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.36869999999999,60.3514,49.2488,11.20609,27.386435,3.07667,17.37107,1.651147,0.8333440000000001,4.454204,3,2,4,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,65.658,70.9864,61.6685,13.89365,30.154638000000002,4.179869999999999,18.44124,1.653298,1.738102,4.142128,3,2,5,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.5755,56.5129,44.5694,10.31489,26.079503000000003,2.6682300000000003,16.81004,1.6271330000000002,0.481625,4.492475,3,1,1,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,67.6889,72.9947,63.6568,14.282420000000002,31.453540000000004,4.15385,19.73936,1.667821,1.70774,4.184769,3,1,2,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwhi_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.1636,50.91110000000001,38.09560000000001,9.09093,23.968243209999997,2.191555,15.55261,1.618024,0.01677621,4.589278,3,1,3,2,1,2,3,5,5,2,4
