scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.85165,6.48155,0.724795,0.2486441,28.58396099999999,2.95039,8.33152,16.005229999999994,0.576284,0.3068889999999999,0.4136479999999999,1,2,1,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.508429,6.57255,0.6797759999999999,0.2773459,28.143613199999997,2.5119740000000004,8.013959,16.28182,0.536683,0.298892,0.5002852,1,2,1,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.82906,6.433490000000001,0.7204520000000001,0.2476547999999999,28.347492999999996,2.91083,8.28795,15.85514,0.5790299999999999,0.305951,0.408592,1,2,2,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.491175,6.5415100000000015,0.676463,0.2763564,28.1052809,2.508958,8.025136999999999,16.23776,0.5357689999999999,0.2984035,0.4992534,1,2,2,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.82595,6.457940000000002,0.720988,0.2483043,28.423621,2.92826,8.336,15.86085,0.580978,0.306648,0.4108850000000001,1,2,3,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.4783440000000003,6.557239999999999,0.675708,0.277232,28.044565900000002,2.516587,8.076159,16.114800000000002,0.537654,0.2990774,0.5002885,1,2,3,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.86935,6.460520000000002,0.724464,0.2483706,28.510682999999997,2.90778,8.2473,16.059379999999997,0.5788449999999999,0.306328,0.41105,1,2,4,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.523693,6.575019999999999,0.6801969999999999,0.2773031,28.237906499999998,2.506644,7.963412,16.43434,0.5354140000000001,0.2977953,0.5003012,1,2,4,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.85691,6.446109999999999,0.718259,0.2476974,28.528345,2.91386,8.326369999999999,15.99079,0.579603,0.30675,0.410972,1,2,5,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.505695,6.5320800000000006,0.66952,0.2757807,28.088656099999998,2.505061,8.054477,16.194679999999998,0.536623,0.2981407,0.4996744,1,2,5,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.8959,6.15943,0.716,0.2402860999999999,27.732045000000003,2.444095,8.32038,15.74095,0.550134,0.275331,0.401155,1,1,1,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.564653,6.48356,0.675772,0.2744822,28.0051924,2.362107,7.921699,16.41153,0.5262910000000001,0.2874694,0.496096,1,1,1,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.85753,6.176399999999999,0.7105670000000001,0.2406613,27.709321000000003,2.521221,8.28737,15.669,0.553042,0.279731,0.398957,1,1,2,1,2,3,3,3,5,3,1,2
