scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_ag3_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.883338e-06,1.7615009999999998,0.620216,34.9283918,22.40439,5.658449,1.020155,4.9431400000000005,0.7277899999999999,0.1744677999999999,2,2,3,2,2,3,3,5
ssp_ag3_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.921259e-06,1.776663,0.622675,34.9167313,22.4003,5.631368,1.031425,4.950130000000001,0.728417,0.1750912999999999,2,2,4,2,2,3,3,5
ssp_ag3_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.91114e-06,1.755795,0.6196459999999999,34.977008399999995,22.42265,5.668679999999998,1.028791,4.9524300000000006,0.729336,0.1751213999999999,2,2,5,2,2,3,3,5
ssp_ag3_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.904169e-06,1.781134,0.6237050000000001,34.856989000000006,22.37043,5.605333,1.032423,4.94672,0.7271380000000001,0.174945,2,1,1,2,2,3,3,5
ssp_ag3_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.900047e-06,1.775038,0.62268,34.9176975,22.40264,5.632873,1.031264,4.94861,0.7273769999999999,0.1749335,2,1,2,2,2,3,3,5
ssp_ag3_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.950045e-06,1.769389,0.624993,34.960132,22.43947,5.623018,1.036853,4.959569999999999,0.7258169999999999,0.175404,2,1,3,2,2,3,3,5
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.975178e-06,1.7955010000000002,0.628041,34.9215944,22.40601,5.572051,1.059512,4.98021,0.727494,0.1763174,2,1,4,2,2,3,3,5
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.9376330000000003e-06,1.758115,0.6222,34.996401,22.44205,5.652856,1.036673,4.96084,0.728383,0.1755989999999999,2,1,5,2,2,3,3,5
ssp_socio3_ag3_gwhi_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.870818e-06,1.775263,0.6195069999999999,34.8472007,22.37176,5.628754,1.018512,4.926159999999999,0.7276520000000001,0.1743626999999999,3,2,1,2,1,3,3,5
ssp_socio3_ag3_gwhi_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.884385e-06,1.768884,0.619754,34.877434099999995,22.35449,5.653909,1.019312,4.94649,0.728664,0.1745691,3,2,2,2,1,3,3,5
ssp_socio3_ag3_gwhi_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.852391e-06,1.764676,0.619775,34.88993220000001,22.37328,5.658231,1.0160550000000002,4.9400200000000005,0.727986,0.1743602,3,2,3,2,1,3,3,5
ssp_socio3_ag3_gwhi_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8820290000000007e-06,1.779306,0.621943,34.905045900000005,22.40677,5.6326420000000015,1.024639,4.9375800000000005,0.72851,0.1749048999999999,3,2,4,2,1,3,3,5
ssp_socio3_ag3_gwhi_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8699110000000008e-06,1.761225,0.61907,34.8873801,22.33829,5.665166,1.023975,4.9557400000000005,0.7292420000000001,0.1749671,3,2,5,2,1,3,3,5
