scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.326612,11.39201,4.201307,7.91928,15.189242300000002,1.602785,8.4373,3.493558,0.883966,0.7716333000000001,1,2,1,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.357694,11.52101,4.52252,8.04243,15.4303938,1.6225379999999998,8.57761,3.5516589999999995,0.8931889999999999,0.7853978,1,2,2,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.343546,11.45353,4.47755,7.9985300000000015,15.305504000000003,1.615849,8.47582,3.541925,0.8896790000000001,0.782231,1,2,3,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.3448720000000005,11.40252,4.125748000000001,7.92473,15.2191454,1.601858,8.4756,3.485849,0.8853129999999999,0.7705254,1,2,4,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.345268,11.42209,4.454228,7.967810000000001,15.294274000000001,1.61036,8.497160000000001,3.521671,0.8848689999999999,0.7802140000000001,1,2,5,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.392494999999999,11.39369,4.093882,7.90189,15.199182200000001,1.592168,8.50535,3.4590910000000004,0.877365,0.7652081999999999,1,1,1,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.425027,11.54827,4.5215700000000005,8.05127,15.490145899999998,1.61465,8.6762,3.530323,0.8869290000000001,0.7820439,1,1,2,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.4275150000000005,11.41025,4.145697999999999,7.93432,15.260656500000001,1.597511,8.53595,3.476829,0.8814420000000001,0.7689244999999999,1,1,3,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.440167,11.39669,4.0066880000000005,7.902439999999999,15.228070199999998,1.590309,8.54147,3.45371,0.8781270000000001,0.7644542,1,1,4,2,2,3,5,4,4,2,2
ssp_ag3_soc5_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.402355,11.36688,4.127877,7.892289999999999,15.223621799999998,1.593048,8.52042,3.4649589999999995,0.878,0.7671948000000001,1,1,5,2,2,3,5,4,4,2,2
