scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.811792e-06,1.6898919999999995,0.5171479999999999,36.5275128,24.4597,5.37162,0.8217629999999999,5.03911,0.699144,0.1361757999999999,1,2,1,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.924383e-06,1.774214,0.621642,34.8747153,22.37444,5.6188460000000005,1.032451,4.94597,0.728182,0.1748263,1,2,1,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.815182e-06,1.693426,0.5193369999999999,36.4837874,24.32887,5.38782,0.8204950000000001,5.10827,0.7026939999999999,0.1356384,1,2,2,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.917323e-06,1.7702719999999998,0.620976,34.9297348,22.40292,5.640617,1.032659,4.94986,0.728783,0.1748958,1,2,2,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.799637e-06,1.686729,0.518254,36.508310900000005,24.35975,5.39361,0.8169350000000001,5.10127,0.700988,0.1357579,1,2,3,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8958620000000003e-06,1.762085,0.620606,34.914629000000005,22.38625,5.65512,1.022306,4.9487,0.7276600000000001,0.174593,1,2,3,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwlo_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.850776e-06,1.7060799999999998,0.5218160000000001,36.5110396,24.34924,5.37147,0.832686,5.11605,0.704885,0.1367086,1,2,4,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.949878e-06,1.783118,0.624273,34.9399706,22.42514,5.608447,1.046064,4.95603,0.728692,0.1755976,1,2,4,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.836889e-06,1.688287,0.519412,36.54716770000001,24.35410000000001,5.412590000000002,0.827607,5.11192,0.7045319999999999,0.1364187,1,2,5,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.932467e-06,1.7543939999999998,0.62035,34.957121799999996,22.39203,5.666906,1.031097,4.962940000000001,0.728919,0.1752298,1,2,5,2,2,3,3,5,1,0,7
ssp_ag3_soc3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.903063e-06,1.705468,0.5238700000000001,36.4310534,24.32974,5.31459,0.8458239999999999,5.10344,0.700572,0.1368874,1,1,1,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwlo_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.009311e-06,1.786157,0.6266700000000001,34.9167387,22.41197,5.5735410000000005,1.058295,4.96902,0.727975,0.1759377,1,1,1,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.889417e-06,1.701568,0.524782,36.559836600000004,24.40267,5.35495,0.84209,5.12098,0.702634,0.1365125999999999,1,1,2,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.9909050000000004e-06,1.7807419999999998,0.6251760000000001,35.009512,22.48871,5.6005850000000015,1.056309,4.96016,0.7279909999999999,0.175757,1,1,2,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.918427000000001e-06,1.694101,0.523861,36.5582329,24.4158,5.3536,0.8351540000000001,5.11598,0.7008179999999999,0.1368809,1,1,3,1,2,3,3,1,1,0,7
