scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.6816,80.3003,34.4173,6.4423900000000005,19.13868500708149,0.440775,9.66182,2.4704300000000003,7.0814900000000005e-09,6.56566,2,2,2,2,1,1,3,3,3
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,96.2138,54.94410000000001,12.07812,2.55626,9.18015002790262,3.74994e-09,1.610745e-08,2.2997300000000003,8.045229999999999e-09,6.880419999999999,2,2,3,2,1,1,3,3,3
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.989,65.8247,20.79597,4.00117,14.387450011193762,3.55621e-09,5.2423,2.36029,7.637549999999999e-09,6.784860000000001,2,2,4,2,1,1,3,3,3
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,93.5979,77.2133,33.176700000000004,6.24206,18.669456006966602,0.4857860000000001,9.25688,2.43699,6.9666e-09,6.489800000000002,2,2,5,2,1,1,3,3,3
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.9931,59.813,15.813480000000002,3.35336,12.62207001120191,3.57286e-09,3.62135,2.26503,7.629050000000001e-09,6.735689999999999,2,1,1,2,1,1,3,3,3
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.2023,77.9159,35.6377,6.57039,19.93954000701626,0.3448699999999999,10.57994,2.45098,7.01626e-09,6.56375,2,1,2,2,1,1,3,3,3
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,96.2839,54.155,11.45095,2.62426,10.63520601166441,3.7143899999999996e-09,1.526746,2.25586,7.950020000000001e-09,6.8526,2,1,3,2,1,1,3,3,3
ssp_socio3_ag1_gwmed_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,99.2238,65.28359999999999,20.31750000000001,4.25253,15.065170011115061,3.53962e-09,5.9507,2.33211,7.575440000000001e-09,6.7823600000000015,2,1,4,2,1,1,3,3,3
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,93.6783,76.2441,33.2033,6.37496,19.61274300690861,0.285463,10.42211,2.41916,6.908610000000001e-09,6.48601,2,1,5,2,1,1,3,3,3
ssp_socio3_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,102.0129,59.1405,17.68497,2.63948,14.4568120073118,2.43953e-09,6.267919999999999,2.1199220000000003,4.8722700000000014e-09,6.068969999999999,3,2,1,2,1,5,3,3,3
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,101.3155,78.5036,35.8515,5.70045,21.8909490044749,1.989594,11.73454,2.275185,4.474899999999999e-09,5.89163,3,2,2,2,1,5,3,3,3
ssp_socio3_ag5_gwhi_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,100.3071,53.0047,13.02347,1.980946,12.320739007630001,2.54428e-09,4.08391,2.092479,5.08572e-09,6.14435,3,2,3,2,1,5,3,3,3
ssp_socio3_ag5_gwhi_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,103.004,63.9469,21.8193,3.32871,16.687925004848648,0.3605219999999999,8.06035,2.1710830000000003,4.84865e-09,6.09597,3,2,4,2,1,5,3,3,3
ssp_socio3_ag5_gwhi_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.6933,75.8688,34.7756,5.56343,21.17728500440197,2.003658,11.10446,2.248127,4.40197e-09,5.82104,3,2,5,2,1,5,3,3,3
ssp_socio3_ag5_gwhi_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,102.1672,58.8591,17.230529999999998,2.77495,15.11262900727548,2.4338400000000004e-09,6.96161,2.095079,4.8416400000000015e-09,6.0559400000000005,3,1,1,2,1,5,3,3,3
ssp_socio3_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,101.461,78.529,35.2851,5.79898,22.3712860044474,1.835147,12.39196,2.265659,4.447399999999999e-09,5.87852,3,1,2,2,1,5,3,3,3
ssp_socio3_ag5_gwhi_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,100.4078,52.5636,12.46421,2.020133,13.417105007559979,2.52307e-09,5.213850000000001,2.066485,5.03691e-09,6.136769999999999,3,1,3,2,1,5,3,3,3
