3.038,3.760,6.072,8.350,11.014,12.659,14.574,12.577,5.730,2.933,2.615,2.778
3.346,3.660,4.827,6.468,9.632,11.762,14.036,12.257,5.296,2.338,2.059,2.152
2.330,3.304,5.595,8.161,9.583,11.714,13.949,12.170,6.196,2.451,1.788,1.995
2.518,2.883,3.981,6.433,9.003,11.398,14.206,13.575,8.170,3.300,2.603,2.478
2.572,3.352,4.424,6.253,8.994,11.545,14.597,15.338,6.553,3.179,2.430,2.547
3.053,3.732,5.530,7.296,9.454,11.599,14.172,13.586,5.934,2.961,2.647,3.189
2.947,3.454,5.761,7.431,10.699,11.935,13.958,11.499,5.074,2.836,2.236,2.088
2.332,2.696,5.048,6.682,9.043,11.443,15.875,15.367,7.743,4.364,2.799,2.556
2.796,3.495,4.571,6.519,9.290,11.536,14.315,14.043,6.534,2.997,2.198,2.285
2.426,3.845,6.402,8.281,9.393,11.473,14.281,13.790,7.977,3.487,2.455,2.983
3.211,4.665,6.333,8.331,9.980,11.747,14.018,11.826,6.938,3.179,2.287,2.295
2.645,3.945,5.893,8.006,9.612,11.624,14.109,12.956,13.837,5.134,3.137,2.652
2.445,2.604,5.476,7.916,9.121,11.578,15.533,12.435,5.631,2.460,1.890,1.915
2.184,2.880,4.058,6.717,9.072,11.392,14.848,14.426,7.914,3.302,2.481,2.873
3.078,3.530,5.176,7.726,9.397,11.597,15.688,18.093,9.971,4.471,2.821,2.301
2.545,2.804,4.612,7.626,9.272,11.726,14.209,13.550,6.532,3.111,2.082,2.022
2.440,2.961,4.318,6.991,9.354,11.560,14.222,17.840,10.545,4.085,2.773,2.607
2.427,3.283,5.442,7.033,9.437,11.516,14.010,11.847,7.493,3.980,2.619,2.487
2.602,2.663,4.254,6.077,8.897,11.402,14.202,14.232,7.020,3.422,2.791,2.435
2.511,3.069,4.108,6.051,8.815,11.514,15.738,17.213,8.552,3.765,2.788,2.381
2.463,3.153,4.545,6.310,8.957,11.861,16.198,15.241,7.053,3.236,2.574,2.324
2.395,3.226,4.487,6.189,8.967,11.578,14.026,12.751,7.348,3.231,2.419,2.366
2.789,3.436,4.743,6.572,9.403,11.499,14.011,12.316,6.734,3.533,2.719,2.508
2.641,3.923,4.341,6.278,9.137,11.494,14.051,12.803,6.430,4.138,3.024,2.588
2.898,3.975,4.275,6.564,9.100,11.451,14.011,11.816,5.659,2.763,2.365,2.490
2.204,2.817,4.404,6.071,8.790,11.408,15.378,17.526,9.439,4.063,3.398,3.644
2.976,3.147,5.578,6.845,9.110,11.652,14.517,13.085,7.022,3.358,2.855,2.446
2.464,3.431,4.034,6.357,8.937,11.653,15.060,15.592,7.383,3.692,2.798,2.639
2.249,3.940,5.273,8.128,9.454,11.568,13.841,11.561,5.365,2.527,2.075,2.200
2.824,3.262,3.957,6.003,9.235,12.059,14.567,15.946,7.327,3.337,2.426,2.430
