Statistic,Value
Mean Annual Scarcity,1.9826501887821109
Mean Variability,21.989036744186723
Mean Surplus Capacity,2.7071554647044116
Mean Deficit Severity,19.28188127948231
Mean Storage Adequacy,0.7664504021470948
Storage Adequacy Points Distribution,[132 175 693]
