FileName,NumScenarios,gw,res,esm,tax,ssp,ag,soc
India_GodavariR_W_cluster_0_scenarios,77,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"1, 5","3, 4"
India_GodavariR_W_cluster_1_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"1, 5",3
India_GodavariR_W_cluster_3_scenarios,81,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,"1, 2","5, 1, 3, 2","3, 5"
India_GodavariR_W_cluster_5_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"1, 5",3
India_GodavariR_W_cluster_6_scenarios,90,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"5, 1, 2",3
India_GodavariR_W_cluster_7_scenarios,72,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"5, 1, 2",4
India_KrishnaR_W_cluster_1_scenarios,125,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,"5, 1, 2",3
India_KrishnaR_W_cluster_2_scenarios,136,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","5, 1, 3, 2","3, 4, 5"
India_KrishnaR_W_cluster_4_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,"1, 5",3
India_KrishnaR_W_cluster_5_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,"1, 5",3
India_KrishnaR_W_cluster_7_scenarios,50,"1, 3, 2","1, 2","5, 1, 3, 2",2,1,"1, 5","3, 4"
Middle East_TigrEuphR_W_cluster_3_scenarios,54,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"5, 1, 4, 2",3
Middle East_TigrEuphR_W_cluster_4_scenarios,136,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","1, 4, 5",3
Middle East_TigrEuphR_W_cluster_5_scenarios,88,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2",3,3
Middle East_TigrEuphR_W_cluster_7_scenarios,40,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,"1, 2","3, 2",3
Pakistan_IndusR_W_cluster_2_scenarios,152,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,"5, 1, 2","3, 4"
Pakistan_IndusR_W_cluster_3_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"1, 5",3
Pakistan_IndusR_W_cluster_4_scenarios,90,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,"5, 1, 2",3
Pakistan_IndusR_W_cluster_5_scenarios,30,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,2,4,5
Pakistan_IndusR_W_cluster_7_scenarios,93,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2",4,"5, 3, 4, 2"
Russia_VolgaR_W_cluster_0_scenarios,90,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4",5
Russia_VolgaR_W_cluster_1_scenarios,120,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2",3,3
Russia_VolgaR_W_cluster_2_scenarios,72,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4",5
Russia_VolgaR_W_cluster_3_scenarios,90,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,"1, 2","4, 2",3
Russia_VolgaR_W_cluster_4_scenarios,96,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","4, 2",3
Russia_VolgaR_W_cluster_5_scenarios,30,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,2,4,5
Russia_VolgaR_W_cluster_6_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,"1, 2",3,3
Russia_VolgaR_W_cluster_7_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,"1, 2",3,3
Southeast Asia_Mekong_W_cluster_2_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",2,4,5
Southeast Asia_Mekong_W_cluster_3_scenarios,240,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","1, 5","3, 2, 4, 5"
Southeast Asia_Mekong_W_cluster_4_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",2,3,5
Southeast Asia_Mekong_W_cluster_5_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",2,4,5
Southeast Asia_Mekong_W_cluster_6_scenarios,119,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,1,"1, 5","4, 2"
Southeast Asia_Mekong_W_cluster_7_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",2,3,5
USA_California_W_cluster_2_scenarios,196,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4, 2",3
USA_California_W_cluster_3_scenarios,120,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2",3,3
USA_MissouriR_W_cluster_5_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,"1, 2",3,3
USA_MissouriR_W_cluster_6_scenarios,153,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,"5, 1, 4, 2",3
USA_MissouriR_W_cluster_7_scenarios,120,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2",3,3
USA_MissppRS_W_cluster_0_scenarios,240,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4, 2",3
USA_MissppRS_W_cluster_1_scenarios,180,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4",3
USA_MissppRS_W_cluster_2_scenarios,240,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4, 2",3
USA_MissppRS_W_cluster_3_scenarios,213,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4, 2",3
USA_MissppRS_W_cluster_4_scenarios,138,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,4,"5, 1, 3, 2"
USA_MissppRS_W_cluster_6_scenarios,150,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,4,"5, 1, 3, 2"
USA_UsaColoRS_W_cluster_3_scenarios,162,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4",5
USA_UsaColoRS_W_cluster_4_scenarios,162,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4",5
USA_UsaColoRS_W_cluster_6_scenarios,40,1,1,"3, 4, 2","1, 2","1, 2","3, 4","5, 1, 2"
