Statistic,Value
Mean Annual Scarcity,1.9775865726232322
Mean Variability,22.1936460023994
Mean Surplus Capacity,2.775466683385436
Mean Deficit Severity,19.418179319013966
Mean Storage Adequacy,0.7627011054810373
Storage Adequacy Points Distribution,[131 184 685]
