Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Met,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,1.0472874775037213,47.692699999999995,24.906359999999992,22.786340000000003,0.29983624328251496,0,May-Jun-Jul,Sep-Oct-Nov,1.646169448832025,0.7816536697905233
2,1.2028333006784202,28.898944444444446,12.397360000000004,16.501584444444443,0.49482776187519345,0,May-Jun-Jul,Oct-Nov-Dec,1.4136994470873119,0.3830411495331802
3,1.1665378401143218,18.203277777777775,6.5186933333333315,11.684584444444443,0.7855728058744,0,May-Jun-Jul,Oct-Nov-Dec,1.4624020123198058,0.0668517944132445
4,1.1407234513731104,43.09503333333334,20.851693333333337,22.243340000000003,0.33182478104592095,0,May-Jun-Jul,Sep-Oct-Nov,1.4989094196506287,0.7256927921056285
5,2.079188279728978,34.17236666666666,6.948359999999997,27.224006666666668,0.4184667728603326,0,May-Jun-Jul,Sep-Oct-Nov,0.7539986822878592,0.7262168192884474
6,1.0088221501276176,30.499944444444438,16.367693333333328,14.132251111111112,0.4688533130297142,0,May-Jun-Jul,Oct-Nov-Dec,1.7147065923999147,0.3752774709450167
7,1.3098891610402867,33.94136666666666,13.831693333333329,20.109673333333333,0.4213147967917223,0,May-Jun-Jul,Sep-Oct-Nov,1.2857764200018527,0.5587873926359387
8,1.2811937762926497,25.495611111111103,9.41202666666666,16.08358444444444,0.5608808487735364,0,May-Jun-Jul,Oct-Nov-Dec,1.3179644322077304,0.2940133171118758
9,2.3762803942251542,29.844366666666666,3.4656933333333306,26.378673333333335,0.4791524028543634,0,May-Jun-Jul,Sep-Oct-Nov,0.6407741070602808,0.575543690056665
10,1.0411231321709413,21.594166666666663,10.427693333333332,11.16647333333333,0.6622158762011348,0,May-Jun-Jul,Nov-Dec-Jan,1.6568035054253771,0.15603121866932032
11,1.1154457688458017,31.613944444444435,15.24269333333333,16.371251111111107,0.45233204053766723,0,May-Jun-Jul,Oct-Nov-Dec,1.5363301707222945,0.43592805721120415
12,1.3808499331796993,23.12494444444444,6.937693333333332,16.18725111111111,0.6183798639756493,0,May-Jun-Jul,Oct-Nov-Dec,1.2119239554343033,0.22744527467987288
13,2.4217242461152324,37.124666666666656,6.515693333333331,30.608973333333328,0.38518864366907907,0,May-Jun-Jul,Aug-Sep-Oct,0.6259194447245057,0.9471841211124304
14,1.179083117405315,27.478611111111107,11.86769333333333,15.610917777777777,0.5204047592572002,0,May-Jun-Jul,Oct-Nov-Dec,1.445226854862002,0.33591765908639154
15,1.3750170601972824,36.88236666666666,14.292359999999997,22.590006666666667,0.3877191539588476,0,May-Jun-Jul,Sep-Oct-Nov,1.2177091423726196,0.6498377034594598
16,1.727341595529726,30.9007,7.864693333333333,23.036006666666665,0.4627726879973593,0,May-Jun-Jul,Sep-Oct-Nov,0.9384322155322979,0.5360363406497883
17,1.2735390169693852,24.545611111111114,8.935026666666667,15.610584444444445,0.5825888764907055,0,May-Jun-Jul,Oct-Nov-Dec,1.32681029041879,0.2627237765499727
18,1.7637781358315707,30.631033333333335,7.444693333333333,23.18634,0.4668468035140832,0,May-Jun-Jul,Sep-Oct-Nov,0.9159229999036455,0.5313785751451336
19,1.1423992826462865,32.887944444444436,15.602026666666665,17.285917777777772,0.43480978338905013,0,May-Jun-Jul,Oct-Nov-Dec,1.4965020874369286,0.48021535186499753
20,2.8128775374590047,25.960999999999995,0.0040266666666646245,25.95697333333333,0.5508262393590387,0,May-Jun-Jul,Aug-Sep-Oct,0.5177869338117301,0.3810091686733735
21,1.6878902425102864,25.472366666666666,5.6976933333333335,19.774673333333332,0.5613926725824456,0,May-Jun-Jul,Sep-Oct-Nov,0.9639113805726616,0.3475367818841619
