4.235,5.641,9.688,14.647,21.744,28.416,34.464,28.893,12.501,5.442,4.047,3.880
4.543,5.541,8.443,12.765,20.362,27.519,33.926,28.573,12.067,4.847,3.491,3.254
3.527,5.185,9.211,14.458,20.313,27.471,33.839,28.486,12.967,4.960,3.220,3.097
3.715,4.764,7.597,12.730,19.733,27.155,34.096,29.891,14.941,5.809,4.035,3.580
3.769,5.233,8.040,12.550,19.724,27.302,34.487,31.654,13.324,5.688,3.862,3.649
4.250,5.613,9.146,13.593,20.184,27.356,34.062,29.902,12.705,5.470,4.079,4.291
4.144,5.335,9.377,13.728,21.429,27.692,33.848,27.815,11.845,5.345,3.668,3.190
3.529,4.577,8.664,12.979,19.773,27.200,35.765,31.683,14.514,6.873,4.231,3.658
3.993,5.376,8.187,12.816,20.020,27.293,34.205,30.359,13.305,5.506,3.630,3.387
3.623,5.726,10.018,14.578,20.123,27.230,34.171,30.106,14.748,5.996,3.887,4.085
4.408,6.546,9.949,14.628,20.710,27.504,33.908,28.142,13.709,5.688,3.719,3.397
3.842,5.826,9.509,14.303,20.342,27.381,33.999,29.272,20.608,7.643,4.569,3.754
3.642,4.485,9.092,14.213,19.851,27.335,35.423,28.751,12.402,4.969,3.322,3.017
3.381,4.761,7.674,13.014,19.802,27.149,34.738,30.742,14.685,5.811,3.913,3.975
4.275,5.411,8.792,14.023,20.127,27.354,35.578,34.409,16.742,6.980,4.253,3.403
3.742,4.685,8.228,13.923,20.002,27.483,34.099,29.866,13.303,5.620,3.514,3.124
3.637,4.842,7.934,13.288,20.084,27.317,34.112,34.156,17.316,6.594,4.205,3.709
3.624,5.164,9.058,13.330,20.167,27.273,33.900,28.163,14.264,6.489,4.051,3.589
3.799,4.544,7.870,12.374,19.627,27.159,34.092,30.548,13.791,5.931,4.223,3.537
3.708,4.950,7.724,12.348,19.545,27.271,35.628,33.529,15.323,6.274,4.220,3.483
3.660,5.034,8.161,12.607,19.687,27.618,36.088,31.557,13.824,5.745,4.006,3.426
3.592,5.107,8.103,12.486,19.697,27.335,33.916,29.067,14.119,5.740,3.851,3.468
3.986,5.317,8.359,12.869,20.133,27.256,33.901,28.632,13.505,6.042,4.151,3.610
3.838,5.804,7.957,12.575,19.867,27.251,33.941,29.119,13.201,6.647,4.456,3.690
4.095,5.856,7.891,12.861,19.830,27.208,33.901,28.132,12.430,5.272,3.797,3.592
3.401,4.698,8.020,12.368,19.520,27.165,35.268,33.842,16.210,6.572,4.830,4.746
4.173,5.028,9.194,13.142,19.840,27.409,34.407,29.401,13.793,5.867,4.287,3.548
3.661,5.312,7.650,12.654,19.667,27.410,34.950,31.908,14.154,6.201,4.230,3.741
3.446,5.821,8.889,14.425,20.184,27.325,33.731,27.877,12.136,5.036,3.507,3.302
4.021,5.143,7.573,12.300,19.965,27.816,34.457,32.262,14.098,5.846,3.858,3.532
