5.850,8.857,13.581,17.441,16.949,12.002,10.450,8.841,4.418,2.809,3.093,4.215
6.158,8.757,12.336,15.559,15.567,11.105,9.912,8.521,3.984,2.214,2.537,3.589
5.142,8.401,13.104,17.252,15.518,11.057,9.825,8.434,4.884,2.327,2.266,3.432
5.330,7.980,11.490,15.524,14.938,10.741,10.082,9.839,6.858,3.176,3.081,3.915
5.384,8.449,11.933,15.344,14.929,10.888,10.473,11.602,5.241,3.055,2.908,3.984
5.865,8.829,13.039,16.387,15.389,10.942,10.048,9.850,4.622,2.837,3.125,4.626
5.759,8.551,13.270,16.522,16.634,11.278,9.834,7.763,3.762,2.712,2.714,3.525
5.144,7.793,12.557,15.773,14.978,10.786,11.751,11.631,6.431,4.240,3.277,3.993
5.608,8.592,12.080,15.610,15.225,10.879,10.191,10.307,5.222,2.873,2.676,3.722
5.238,8.942,13.911,17.372,15.328,10.816,10.157,10.054,6.665,3.363,2.933,4.420
6.023,9.762,13.842,17.422,15.915,11.090,9.894,8.090,5.626,3.055,2.765,3.732
5.457,9.042,13.402,17.097,15.547,10.967,9.985,9.220,12.525,5.010,3.615,4.089
5.257,7.701,12.985,17.007,15.056,10.921,11.409,8.699,4.319,2.336,2.368,3.352
4.996,7.977,11.567,15.808,15.007,10.735,10.724,10.690,6.602,3.178,2.959,4.310
5.890,8.627,12.685,16.817,15.332,10.940,11.564,14.357,8.659,4.347,3.299,3.738
5.357,7.901,12.121,16.717,15.207,11.069,10.085,9.814,5.220,2.987,2.560,3.459
5.252,8.058,11.827,16.082,15.289,10.903,10.098,14.104,9.233,3.961,3.251,4.044
5.239,8.380,12.951,16.124,15.372,10.859,9.886,8.111,6.181,3.856,3.097,3.924
5.414,7.760,11.763,15.168,14.832,10.745,10.078,10.496,5.708,3.298,3.269,3.872
5.323,8.166,11.617,15.142,14.750,10.857,11.614,13.477,7.240,3.641,3.266,3.818
5.275,8.250,12.054,15.401,14.892,11.204,12.074,11.505,5.741,3.112,3.052,3.761
5.207,8.323,11.996,15.280,14.902,10.921,9.902,9.015,6.036,3.107,2.897,3.803
5.601,8.533,12.252,15.663,15.338,10.842,9.887,8.580,5.422,3.409,3.197,3.945
5.453,9.020,11.850,15.369,15.072,10.837,9.927,9.067,5.118,4.014,3.502,4.025
5.710,9.072,11.784,15.655,15.035,10.794,9.887,8.080,4.347,2.639,2.843,3.927
5.016,7.914,11.913,15.162,14.725,10.751,11.254,13.790,8.127,3.939,3.876,5.081
5.788,8.244,13.087,15.936,15.045,10.995,10.393,9.349,5.710,3.234,3.333,3.883
5.276,8.528,11.543,15.448,14.872,10.996,10.936,11.856,6.071,3.568,3.276,4.076
5.061,9.037,12.782,17.219,15.389,10.911,9.717,7.825,4.053,2.403,2.553,3.637
5.636,8.359,11.466,15.094,15.170,11.402,10.443,12.210,6.015,3.213,2.904,3.867
