2.809,3.376,5.414,7.341,9.626,10.945,12.524,10.908,5.028,2.661,2.441,2.607
3.117,3.276,4.169,5.459,8.244,10.048,11.986,10.588,4.594,2.066,1.885,1.981
2.101,2.920,4.937,7.152,8.195,10.000,11.899,10.501,5.494,2.179,1.614,1.824
2.289,2.499,3.323,5.424,7.615,9.684,12.156,11.906,7.468,3.028,2.429,2.307
2.343,2.968,3.766,5.244,7.606,9.831,12.547,13.669,5.851,2.907,2.256,2.376
2.824,3.348,4.872,6.287,8.066,9.885,12.122,11.917,5.232,2.689,2.473,3.018
2.718,3.070,5.103,6.422,9.311,10.221,11.908,9.830,4.372,2.564,2.062,1.917
2.103,2.312,4.390,5.673,7.655,9.729,13.825,13.698,7.041,4.092,2.625,2.385
2.567,3.111,3.913,5.510,7.902,9.822,12.265,12.374,5.832,2.725,2.024,2.114
2.197,3.461,5.744,7.272,8.005,9.759,12.231,12.121,7.275,3.215,2.281,2.812
2.982,4.281,5.675,7.322,8.592,10.033,11.968,10.157,6.236,2.907,2.113,2.124
2.416,3.561,5.235,6.997,8.224,9.910,12.059,11.287,13.135,4.862,2.963,2.481
2.216,2.220,4.818,6.907,7.733,9.864,13.483,10.766,4.929,2.188,1.716,1.744
1.955,2.496,3.400,5.708,7.684,9.678,12.798,12.757,7.212,3.030,2.307,2.702
2.849,3.146,4.518,6.717,8.009,9.883,13.638,16.424,9.269,4.199,2.647,2.130
2.316,2.420,3.954,6.617,7.884,10.012,12.159,11.881,5.830,2.839,1.908,1.851
2.211,2.577,3.660,5.982,7.966,9.846,12.172,16.171,9.843,3.813,2.599,2.436
2.198,2.899,4.784,6.024,8.049,9.802,11.960,10.178,6.791,3.708,2.445,2.316
2.373,2.279,3.596,5.068,7.509,9.688,12.152,12.563,6.318,3.150,2.617,2.264
2.282,2.685,3.450,5.042,7.427,9.800,13.688,15.544,7.850,3.493,2.614,2.210
2.234,2.769,3.887,5.301,7.569,10.147,14.148,13.572,6.351,2.964,2.400,2.153
2.166,2.842,3.829,5.180,7.579,9.864,11.976,11.082,6.646,2.959,2.245,2.195
2.560,3.052,4.085,5.563,8.015,9.785,11.961,10.647,6.032,3.261,2.545,2.337
2.412,3.539,3.683,5.269,7.749,9.780,12.001,11.134,5.728,3.866,2.850,2.417
2.669,3.591,3.617,5.555,7.712,9.737,11.961,10.147,4.957,2.491,2.191,2.319
1.975,2.433,3.746,5.062,7.402,9.694,13.328,15.857,8.737,3.791,3.224,3.473
2.747,2.763,4.920,5.836,7.722,9.938,12.467,11.416,6.320,3.086,2.681,2.275
2.235,3.047,3.376,5.348,7.549,9.939,13.010,13.923,6.681,3.420,2.624,2.468
2.020,3.556,4.615,7.119,8.066,9.854,11.791,9.892,4.663,2.255,1.901,2.029
2.595,2.878,3.299,4.994,7.847,10.345,12.517,14.277,6.625,3.065,2.252,2.259
