4.042,5.421,8.985,12.933,17.650,21.255,25.021,21.104,9.298,4.300,3.462,3.561
4.350,5.321,7.740,11.051,16.268,20.358,24.483,20.784,8.864,3.705,2.906,2.935
3.334,4.965,8.508,12.744,16.219,20.310,24.396,20.697,9.764,3.818,2.635,2.778
3.522,4.544,6.894,11.016,15.639,19.994,24.653,22.102,11.738,4.667,3.450,3.261
3.576,5.013,7.337,10.836,15.630,20.141,25.044,23.865,10.121,4.546,3.277,3.330
4.057,5.393,8.443,11.879,16.090,20.195,24.619,22.113,9.502,4.328,3.494,3.972
3.951,5.115,8.674,12.014,17.335,20.531,24.405,20.026,8.642,4.203,3.083,2.871
3.336,4.357,7.961,11.265,15.679,20.039,26.322,23.894,11.311,5.731,3.646,3.339
3.800,5.156,7.484,11.102,15.926,20.132,24.762,22.570,10.102,4.364,3.045,3.068
3.430,5.506,9.315,12.864,16.029,20.069,24.728,22.317,11.545,4.854,3.302,3.766
4.215,6.326,9.246,12.914,16.616,20.343,24.465,20.353,10.506,4.546,3.134,3.078
3.649,5.606,8.806,12.589,16.248,20.220,24.556,21.483,17.405,6.501,3.984,3.435
3.449,4.265,8.389,12.499,15.757,20.174,25.980,20.962,9.199,3.827,2.737,2.698
3.188,4.541,6.971,11.300,15.708,19.988,25.295,22.953,11.482,4.669,3.328,3.656
4.082,5.191,8.089,12.309,16.033,20.193,26.135,26.620,13.539,5.838,3.668,3.084
3.549,4.465,7.525,12.209,15.908,20.322,24.656,22.077,10.100,4.478,2.929,2.805
3.444,4.622,7.231,11.574,15.990,20.156,24.669,26.367,14.113,5.452,3.620,3.390
3.431,4.944,8.355,11.616,16.073,20.112,24.457,20.374,11.061,5.347,3.466,3.270
3.606,4.324,7.167,10.660,15.533,19.998,24.649,22.759,10.588,4.789,3.638,3.218
3.515,4.730,7.021,10.634,15.451,20.110,26.185,25.740,12.120,5.132,3.635,3.164
3.467,4.814,7.458,10.893,15.593,20.457,26.645,23.768,10.621,4.603,3.421,3.107
3.399,4.887,7.400,10.772,15.603,20.174,24.473,21.278,10.916,4.598,3.266,3.149
3.793,5.097,7.656,11.155,16.039,20.095,24.458,20.843,10.302,4.900,3.566,3.291
3.645,5.584,7.254,10.861,15.773,20.090,24.498,21.330,9.998,5.505,3.871,3.371
3.902,5.636,7.188,11.147,15.736,20.047,24.458,20.343,9.227,4.130,3.212,3.273
3.208,4.478,7.317,10.654,15.426,20.004,25.825,26.053,13.007,5.430,4.245,4.427
3.980,4.808,8.491,11.428,15.746,20.248,24.964,21.612,10.590,4.725,3.702,3.229
3.468,5.092,6.947,10.940,15.573,20.249,25.507,24.119,10.951,5.059,3.645,3.422
3.253,5.601,8.186,12.711,16.090,20.164,24.288,20.088,8.933,3.894,2.922,2.983
3.828,4.923,6.870,10.586,15.871,20.655,25.014,24.473,10.895,4.704,3.273,3.213
