Statistic,Value
Mean Annual Scarcity,1.3360658653560622
Mean Variability,19.47868035555556
Mean Surplus Capacity,8.502060611111112
Mean Deficit Severity,10.976619744444447
Mean Storage Adequacy,0.8130141335003425
Storage Adequacy Points Distribution,[ 38 250 712]
