7.318,11.549,17.459,21.935,19.189,9.979,6.029,5.014,2.965,2.476,3.214,4.914
7.626,11.449,16.214,20.053,17.807,9.082,5.491,4.694,2.531,1.881,2.658,4.288
6.610,11.093,16.982,21.746,17.758,9.034,5.404,4.607,3.431,1.994,2.387,4.131
6.798,10.672,15.368,20.018,17.178,8.718,5.661,6.012,5.405,2.843,3.202,4.614
6.852,11.141,15.811,19.838,17.169,8.865,6.052,7.775,3.788,2.722,3.029,4.683
7.333,11.521,16.917,20.881,17.629,8.919,5.627,6.023,3.169,2.504,3.246,5.325
7.227,11.243,17.148,21.016,18.874,9.255,5.413,3.936,2.309,2.379,2.835,4.224
6.612,10.485,16.435,20.267,17.218,8.763,7.330,7.804,4.978,3.907,3.398,4.692
7.076,11.284,15.958,20.104,17.465,8.856,5.770,6.480,3.769,2.540,2.797,4.421
6.706,11.634,17.789,21.866,17.568,8.793,5.736,6.227,5.212,3.030,3.054,5.119
7.491,12.454,17.720,21.916,18.155,9.067,5.473,4.263,4.173,2.722,2.886,4.431
6.925,11.734,17.280,21.591,17.787,8.944,5.564,5.393,11.072,4.677,3.736,4.788
6.725,10.393,16.863,21.501,17.296,8.898,6.988,4.872,2.866,2.003,2.489,4.051
6.464,10.669,15.445,20.302,17.247,8.712,6.303,6.863,5.149,2.845,3.080,5.009
7.358,11.319,16.563,21.311,17.572,8.917,7.143,10.530,7.206,4.014,3.420,4.437
6.825,10.593,15.999,21.211,17.447,9.046,5.664,5.987,3.767,2.654,2.681,4.158
6.720,10.750,15.705,20.576,17.529,8.880,5.677,10.277,7.780,3.628,3.372,4.743
6.707,11.072,16.829,20.618,17.612,8.836,5.465,4.284,4.728,3.523,3.218,4.623
6.882,10.452,15.641,19.662,17.072,8.722,5.657,6.669,4.255,2.965,3.390,4.571
6.791,10.858,15.495,19.636,16.990,8.834,7.193,9.650,5.787,3.308,3.387,4.517
6.743,10.942,15.932,19.895,17.132,9.181,7.653,7.678,4.288,2.779,3.173,4.460
6.675,11.015,15.874,19.774,17.142,8.898,5.481,5.188,4.583,2.774,3.018,4.502
7.069,11.225,16.130,20.157,17.578,8.819,5.466,4.753,3.969,3.076,3.318,4.644
6.921,11.712,15.728,19.863,17.312,8.814,5.506,5.240,3.665,3.681,3.623,4.724
7.178,11.764,15.662,20.149,17.275,8.771,5.466,4.253,2.894,2.306,2.964,4.626
6.484,10.606,15.791,19.656,16.965,8.728,6.833,9.963,6.674,3.606,3.997,5.780
7.256,10.936,16.965,20.430,17.285,8.972,5.972,5.522,4.257,2.901,3.454,4.582
6.744,11.220,15.421,19.942,17.112,8.973,6.515,8.029,4.618,3.235,3.397,4.775
6.529,11.729,16.660,21.713,17.629,8.888,5.296,3.998,2.600,2.070,2.674,4.336
7.104,11.051,15.344,19.588,17.410,9.379,6.022,8.383,4.562,2.880,3.025,4.566
