scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.34145,1.100552,1.343805,2.012249,5.7015316,0.524284,0.3428587,1.660011,0.0959129,2.42464,0.653825,1,1,2,1,2,3,3,6,2,4,7,7,3,1,1
ssp_ag3_soc3_gwlo_rs_hadgem_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.21428,1.073071,1.302677,2.267448,5.8717116,0.447364,0.3266049,1.82779,0.0933881,2.3952180000000003,0.7813465999999999,1,1,2,2,2,3,3,1,2,4,7,7,3,1,1
ssp_ag3_soc3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.64304,1.124817,1.3694730000000002,2.062221,5.8190308,0.536568,0.3501855,1.69003,0.0980283,2.4737780000000003,0.6704410000000001,1,1,3,1,2,3,3,6,2,4,7,7,3,1,1
ssp_ag3_soc3_gwlo_rs_ipsl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.34577,1.083157,1.311786,2.29255,5.921130400000001,0.4510979999999999,0.3295107,1.8409830000000005,0.0943621,2.416374,0.7888025999999999,1,1,3,2,2,3,3,1,2,4,7,7,3,1,1
ssp_ag3_soc3_gwlo_rs_miroc_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.30786,1.082606,1.325902,1.996202,5.6135635,0.512703,0.3324741,1.653216,0.0940814,2.375043,0.646046,1,1,4,1,2,3,3,6,2,4,7,7,3,1,1
ssp_ag3_soc3_gwlo_rs_miroc_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.3058,1.0720690000000002,1.300718,2.269801,5.848968,0.444029,0.3216290999999999,1.835602,0.0929006999999999,2.3753390000000003,0.7794681999999998,1,1,4,2,2,3,3,1,2,4,7,7,3,1,1
ssp_ag3_soc3_gwlo_rs_noresm_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.44194,1.097217,1.335014,2.017779,5.710412,0.5245230000000001,0.3439895999999999,1.658827,0.0959144,2.429887,0.6572709999999999,1,1,5,1,2,3,3,6,2,4,7,7,3,1,1
ssp_ag3_soc3_gwlo_rs_noresm_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.31414,1.074209,1.2933899999999998,2.271488,5.8933551,0.448218,0.3281052,1.83572,0.0937422,2.402271,0.7852986999999999,1,1,5,2,2,3,3,1,2,4,7,7,3,1,1
ssp_ag3_soc3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.86633,1.069626,1.323414,2.069083,5.5636096,0.515847,0.3380823,1.582102,0.0945813,2.387262,0.6457350000000001,2,2,1,1,2,3,3,6,2,4,7,7,3,1,1
ssp_ag3_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.891780000000001,1.056606,1.294102,2.28304,5.7820144,0.44367,0.3267343,1.757198,0.0929015,2.386867,0.7746436,2,2,1,2,2,3,3,1,2,1,7,7,3,1,1
