scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.60424,21.98709,6.19608,21.46527,17.66879,1.872629,9.8114,4.0948,1.225588,0.664373,2,2,1,2,1,1,3,5,5
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.53436,21.01868,5.47147,19.424,16.685783999999998,2.049576,9.22941,3.98726,0.890452,0.529086,2,2,2,1,1,1,3,5,5
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.6881,22.42727,8.3393,22.33933,18.903725,1.928884,10.6335,4.3822100000000015,1.244367,0.7147640000000001,2,2,2,2,1,1,3,5,5
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5727300000000004,22.00654,6.783930000000001,21.78068,17.975742,1.898102,9.95747,4.20184,1.238398,0.679932,2,2,3,2,1,1,3,5,5
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.58534,21.8271,4.58513,20.97707,16.910686000000002,1.837838,9.32103,3.89452,1.226587,0.630711,2,2,4,2,1,1,3,5,5
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5592,21.8431,6.8033800000000015,21.56796,17.977712,1.887722,9.99879,4.17787,1.233054,0.680276,2,2,5,2,1,1,3,5,5
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.50903,21.48784,2.152351,20.22312,15.312988,1.770613,8.27609,3.49751,1.206071,0.562704,2,1,1,2,1,1,3,5,5
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.52596,21.12349,5.50531,19.6653,16.801137999999998,2.0379560000000003,9.38015,3.97534,0.8817520000000001,0.52594,2,1,2,1,1,1,3,5,5
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.70868,22.37381,8.194360000000001,22.59024,19.064556000000003,1.934416,10.81934,4.3639600000000005,1.235094,0.711746,2,1,2,2,1,1,3,5,5
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.55201,21.94903,5.29507,21.59939,17.456306,1.856171,9.72456,4.0047,1.224484,0.6463909999999999,2,1,3,2,1,1,3,5,5
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5349000000000004,21.69314,5.49831,21.35593,17.522085,1.852546,9.78699,4.0101,1.221224,0.6512249999999999,2,1,5,2,1,1,3,5,5
ssp_socio3_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.12855,22.01363,5.9087,20.25438,17.845964,1.897234,9.84312,4.25516,1.144958,0.705492,3,2,1,2,1,5,3,5,5
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.20752,22.34116,7.64094,20.969620000000003,18.851127,1.952171,10.49813,4.49152,1.160663,0.7486430000000001,3,2,2,2,1,5,3,5,5
ssp_socio3_ag5_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.0936200000000005,22.01622,6.405959999999999,20.52644,18.082336999999995,1.926195,9.94013,4.34002,1.156836,0.7191559999999999,3,2,3,2,1,5,3,5,5
ssp_socio3_ag5_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.11795,21.8893,4.700419999999999,19.90135,17.297343,1.878767,9.49773,4.09628,1.1453570000000002,0.6792090000000001,3,2,4,2,1,5,3,5,5
ssp_socio3_ag5_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.09184,21.8505,6.42225,20.36657,18.037976999999998,1.91958,9.91702,4.32866,1.152455,0.720262,3,2,5,2,1,5,3,5,5
ssp_socio3_ag5_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.04157,21.55865,2.38512,19.15342,15.805925,1.812048,8.53675,3.71825,1.126161,0.612716,3,1,1,2,1,5,3,5,5
ssp_socio3_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.20814,22.45496,7.639189999999998,21.21015,19.031927,1.94287,10.70408,4.48841,1.150469,0.7460979999999999,3,1,2,2,1,5,3,5,5
ssp_socio3_ag5_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.07341,21.97768,5.24199,20.38704,17.739235,1.88543,9.83744,4.1814800000000005,1.143325,0.6915600000000001,3,1,3,2,1,5,3,5,5
ssp_socio3_ag5_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.0668,21.72524,5.3608400000000005,20.16795,17.753019000000002,1.884529,9.85482,4.18008,1.1394540000000002,0.694136,3,1,5,2,1,5,3,5,5
ssp_socio3_ag5_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.16439,22.04612,5.89522,20.23403,17.883554,1.900152,9.89378,4.24213,1.142325,0.7051669999999999,1,2,1,2,1,5,3,5,5
ssp_socio3_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.227530000000001,22.38007,7.63408,20.948220000000003,18.898528,1.949945,10.55734,4.48527,1.157897,0.7480760000000001,1,2,2,2,1,5,3,5,5
ssp_socio3_ag5_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.12568,22.04607,6.39147,20.50642,18.127513,1.922913,9.99534,4.3356,1.154582,0.719078,1,2,3,2,1,5,3,5,5
ssp_socio3_ag5_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.15826,21.90747,4.45547,19.77988,17.216268,1.870026,9.47658,4.05504,1.141107,0.6735150000000001,1,2,4,2,1,5,3,5,5
ssp_socio3_ag5_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.135,21.88746,6.395919999999999,20.31351,18.138298,1.91262,10.04445,4.31492,1.147352,0.7189559999999999,1,2,5,2,1,5,3,5,5
