scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_socio3_ag2_gwlo_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.764525,11.766470000000002,20.46688,0.699639,51.05303119999999,5.2673,0.3925932,29.76789,3.19161,6.33127,6.102368,1,2,5,2,1,2,3,1,4,3,5,1,7,7,4,3,3
ssp_socio3_ag2_gwmed_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.806939,12.27612,21.57093,0.7261299999999999,52.492273899999994,5.51246,0.3949029,30.56191,3.2798100000000003,6.47987,6.263321,2,2,1,2,1,2,3,1,4,3,5,1,7,7,7,3,3
ssp_socio3_ag2_gwmed_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.820062,12.41116,21.7912,0.732733,52.767191499999996,5.61721,0.3928844999999999,30.66695,3.31061,6.490480000000001,6.2890570000000015,2,2,2,2,1,2,3,1,4,3,5,1,7,7,7,3,3
ssp_socio3_ag2_gwmed_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.775681,11.57262,20.29567,0.7004319999999999,50.746942100000005,5.09561,0.4109701,29.4028,3.1998,6.48576,6.152002,2,2,3,2,1,2,3,1,4,3,5,1,7,7,4,3,3
ssp_socio3_ag2_gwmed_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.779261,12.18807,21.28018,0.720214,51.7303095,5.5390700000000015,0.3930475,29.87888,3.28084,6.42216,6.216312,2,2,5,2,1,2,3,1,4,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwhi_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.797065,14.61531,19.70583,0.778502,58.96480040000001,5.5782,0.5643514000000001,35.644740000000006,3.19842,6.0921400000000006,7.886948999999999,3,2,1,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwhi_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.78491,14.620870000000002,19.74749,0.7785890000000001,58.8199837,5.6243,0.5615616999999999,35.49427,3.20258,6.07501,7.862261999999999,3,2,2,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwhi_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.784302,14.10993,18.76396,0.760371,57.904622700000004,5.26297,0.5804816999999999,34.999590000000005,3.1319440000000003,6.095219999999999,7.834416999999998,3,2,3,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwhi_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.743226,13.98787,18.70018,0.750785,58.10223450000001,5.21293,0.5607935000000001,35.560520000000004,3.080361,5.96776,7.719869999999999,3,2,4,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwhi_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.764801,14.47442,19.50353,0.7694529999999999,58.109652000000004,5.548080000000001,0.5574730000000001,35.04914,3.168801,6.0021900000000015,7.7839680000000016,3,2,5,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwhi_rs_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.67479,12.77199,16.474520000000002,0.6960850000000001,55.475662299999996,4.47481,0.5751373000000001,34.38243,2.8583670000000003,5.74725,7.437667999999999,3,1,1,2,1,4,3,1,7,1,5,1,2,7,6,3,3
ssp_socio3_ag4_gwhi_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.738698,13.92442,18.45332,0.74705,58.0771365,5.17258,0.5595215,35.69633,3.061526,5.91308,7.674099000000001,3,1,2,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwhi_rs_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.67132,13.59172,17.97318,0.7303080000000001,56.792113500000006,5.04385,0.5586495,34.778490000000005,3.008771,5.82825,7.574103000000001,3,1,5,2,1,4,3,1,7,3,5,1,7,7,4,3,3
