scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal
ssp_socio4_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.10094,13.69876,9.0337,14.342579999999998,14.632411500000002,1.932771,6.37692,4.73151,1.393001,0.1982095,1,1,2,2,1,1,4,7,3,7
ssp_socio4_ag1_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.0214800000000004,14.06936,8.488480000000001,14.24569,14.588280200000002,1.953832,6.3159600000000005,4.71737,1.3851440000000002,0.2159742,1,1,3,2,1,1,4,7,3,7
ssp_socio4_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,2.9802,13.4181,8.362,13.57441,14.346654000000001,1.90264,6.2289900000000005,4.65477,1.372157,0.188097,1,1,5,2,1,1,4,7,3,7
ssp_socio4_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.15538,13.53719,8.816569999999997,13.40802,14.2264544,1.896096,6.04213,4.73231,1.3747440000000002,0.1811743999999999,2,2,1,2,1,1,4,7,3,7
ssp_socio4_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.06865,13.80436,8.933530000000003,13.72715,14.5244997,1.925973,6.21517,4.79066,1.398723,0.1939737,2,2,2,2,1,1,4,7,3,7
ssp_socio4_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,2.98694,13.61559,8.84693,13.53551,14.293836600000002,1.914291,6.04546,4.76218,1.381199,0.1907066,2,2,3,2,1,1,4,7,3,7
ssp_socio4_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,2.95369,13.47592,8.7163,13.50137,14.2035082,1.903654,6.00282,4.72316,1.38267,0.1912042,2,2,5,2,1,1,4,7,3,7
ssp_socio4_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,2.9977,13.4876,8.70422,13.661829999999998,14.3764892,1.886777,6.215730000000001,4.7085,1.373294,0.1921882,2,1,5,2,1,1,4,7,3,7
ssp_socio4_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.53686,13.73732,8.2945,12.66953,14.237778800000001,1.954735,5.8956300000000015,4.857130000000001,1.334125,0.1961588,3,2,1,2,1,5,4,7,3,7
ssp_socio4_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.57554,13.89173,8.39076,12.93045,14.462059300000002,1.979167,5.9905800000000005,4.9347,1.356704,0.2009083,3,2,2,2,1,5,4,7,3,7
ssp_socio4_ag5_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.4874300000000003,13.72521,8.32997,12.76918,14.2805866,1.96778,5.8722900000000005,4.89979,1.343041,0.1976856,3,2,3,2,1,5,4,7,3,7
ssp_socio4_ag5_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.45584,13.578879999999998,8.19772,12.73791,14.222589099999999,1.953878,5.8594,4.869219999999999,1.341614,0.1984771,3,2,5,2,1,5,4,7,3,7
ssp_socio4_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.57135,13.98412,8.391399999999999,13.1627,14.567722700000003,1.971933,6.113060000000001,4.9316200000000014,1.349851,0.2012587,3,1,2,2,1,5,4,7,3,7
ssp_socio4_ag5_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5362400000000003,13.40551,7.930379999999999,13.30272,14.145957000000001,1.941491,5.855180000000001,4.81473,1.343411,0.191145,3,1,3,2,1,5,4,7,3,7
ssp_socio4_ag5_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.4502300000000004,13.5988,8.05338,12.84236,14.248190799999998,1.94788,5.9236,4.844119999999999,1.335568,0.1970227999999999,3,1,5,2,1,5,4,7,3,7
ssp_socio4_ag5_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5372800000000004,13.71915,8.22068,12.65801,14.290679900000002,1.944281,5.9753500000000015,4.843030000000001,1.332363,0.1956559,1,2,1,2,1,5,4,7,3,7
ssp_socio4_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.57982,13.903479999999998,8.396930000000001,12.90687,14.527902399999999,1.975997,6.06884,4.9274,1.354816,0.2008493999999999,1,2,2,2,1,5,4,7,3,7
ssp_socio4_ag5_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5279300000000005,13.64728,8.33411,12.8714,14.4119723,1.980573,5.9836800000000006,4.90031,1.343081,0.2043283,1,2,3,2,1,5,4,7,3,7
ssp_socio4_ag5_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.47116,13.59519,8.195409999999999,12.71202,14.2804728,1.950911,5.9324200000000005,4.85962,1.33901,0.1985118,1,2,5,2,1,5,4,7,3,7
ssp_socio4_ag5_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5921700000000003,13.92388,8.48657,13.112329999999998,14.6967724,1.983827,6.24291,4.92052,1.34589,0.2036253999999999,1,1,2,2,1,5,4,7,3,7
ssp_socio4_ag5_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.50055,13.8198,8.32145,12.98813,14.490017199999999,1.957719,6.10936,4.88983,1.334154,0.1989542,1,1,3,2,1,5,4,7,3,7
ssp_socio4_ag5_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.47589,13.5991,8.170639999999999,12.86872,14.467665199999999,1.95551,6.145,4.83636,1.331127,0.1996682,1,1,5,2,1,5,4,7,3,7
ssp_socio4_ag5_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.55526,13.704059999999998,8.18815,13.0789,14.452197,1.95911,6.02707,4.94761,1.3153229999999998,0.203084,2,2,1,2,1,5,4,7,3,7
ssp_socio4_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.57676,13.46402,8.4546,12.68045,14.3240062,1.980762,5.88102,4.90855,1.366778,0.1868962,2,2,2,2,1,5,4,7,3,7
ssp_socio4_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.4639800000000003,13.75665,8.33483,12.86891,14.246592900000001,1.956704,5.86597,4.8827300000000005,1.344976,0.1962129,2,2,3,2,1,5,4,7,3,7
ssp_socio4_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.4582,13.59026,8.202729999999999,12.72678,14.2257718,1.956028,5.86509,4.86505,1.341224,0.1983797999999999,2,2,5,2,1,5,4,7,3,7
ssp_socio4_ag5_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.57336,13.99439,8.39856,13.14861,14.598540699999997,1.971037,6.151009999999999,4.92636,1.34896,0.2011737,2,1,2,2,1,5,4,7,3,7
ssp_socio4_ag5_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.41057,13.565460000000002,8.0226,12.70166,14.162197700000002,1.926574,5.9419,4.75396,1.345673,0.1940907,2,1,5,2,1,5,4,7,3,7
