scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.58711,2.930588,1.199951,0.001236989,31.7956967,0.527687,22.226836,7.0131000000000006,1.424649,0.373193,0.2302317,3,2,1,2,2,4,5,4,2,6,2,1,4,3,5,7
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,43.0402,2.514482,1.068921,0.000771165,31.8551858,0.558789,23.1129,6.587560000000001,1.125625,0.31214,0.1581717999999999,3,2,2,1,2,4,5,4,2,6,2,1,5,3,0,7
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.248470000000005,3.200615,1.182346,0.001251321,32.0937221,0.547566,21.951447,7.436139999999999,1.56443,0.372566,0.2215731,3,2,2,2,2,4,5,4,2,6,2,1,4,3,5,7
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,40.4289,1.569886,1.116038,0.000732726,30.303699200000004,0.450054,24.146320000000003,4.67131,0.622563,0.308858,0.1045942,3,2,3,1,2,4,5,4,2,1,2,6,7,3,0,7
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.1976,2.0227310000000003,1.110353,0.000751786,31.167669800000002,0.5038779999999999,23.69478,5.65408,0.8671439999999999,0.315561,0.1322267999999999,3,2,4,1,2,4,5,4,2,6,2,6,7,3,0,7
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.1165,2.08488,1.255628,0.001221881,30.2726351,0.431358,22.982445,5.3718400000000015,0.953357,0.37456,0.1590751,3,2,4,2,2,4,5,4,2,6,2,6,7,3,5,7
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,40.9337,1.79265,1.097927,0.000736473,30.9320628,0.477688,24.07568,5.196940000000001,0.750163,0.311826,0.1197658,3,2,5,1,2,4,5,4,2,6,2,6,7,3,0,7
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.5826,2.361638,1.087638,0.000755033,31.291600499999994,0.536239,22.96354,6.2996,1.0308389999999998,0.311799,0.1495835,3,1,1,1,2,4,5,4,2,6,2,1,5,3,0,7
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.6752,2.908075,1.204124,0.00124508,31.4390545,0.514504,22.017161,6.939010000000001,1.391842,0.371737,0.2048005,3,1,1,2,2,4,5,4,2,6,2,1,4,3,5,7
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,43.1518,2.54511,1.072054,0.000779416,31.793218500000002,0.5596140000000001,22.97575,6.65603,1.13059,0.312312,0.1589225,3,1,2,1,2,4,5,4,2,6,2,1,5,3,0,7
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.32331,3.220193,1.184834,0.0012641389999999,32.0750045,0.5475180000000001,21.853203,7.513859999999998,1.565658,0.372289,0.2224765,3,1,2,2,2,4,5,4,2,6,2,1,4,3,5,7
