scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag4_soc3_gwlo_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0470596,3.3002199999999995,1.02631,0.271688,15.611051600000001,2.98328,9.85227,0.302832,0.0461699999999999,2.387693,0.0388066,1,1,5,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0465041,3.3341800000000004,1.051502,0.271094,15.861756900000001,3.0634,9.99634,0.293475,0.0467118,2.42373,0.0381001,2,2,1,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.045154,3.17033,1.03768,0.26498,15.626940699999999,3.04073,9.79971,0.290348,0.04572,2.41474,0.0356926999999999,2,2,2,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0442623,3.20909,1.004206,0.264733,15.284702100000002,2.95986,9.63451,0.282921,0.0450806,2.325578,0.0367525,2,2,3,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwmed_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0447938,3.20215,1.013324,0.263677,15.2045751,2.93547,9.5636,0.285803,0.0448665,2.337737,0.0370986,2,2,4,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwmed_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0451799,3.25867,1.020451,0.269481,15.720012399999998,3.01391,9.9485,0.290013,0.0459051999999999,2.383859,0.0378251999999999,2,2,5,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.046872,3.37237,1.057764,0.275117,15.830840700000001,3.0735,9.94861,0.2994,0.0468515,2.42381,0.0386691999999999,2,1,1,1,2,4,3,6,7,7,4,4
ssp_ag4_soc3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0469006,3.3635300000000004,1.04934,0.278798,15.872429200000001,3.0699400000000003,9.99461,0.29954,0.0469025,2.42259,0.0388467,2,1,2,1,2,4,3,6,7,7,4,4
ssp_ag4_soc3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.044662,3.24623,1.009442,0.268478,15.2475315,2.96455,9.58633,0.288197,0.0452454,2.3258520000000003,0.0373571,2,1,3,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0454334,3.27454,1.024032,0.271462,15.689409699999999,3.01561,9.91345,0.294215,0.0459228,2.382023,0.0381889,2,1,5,1,2,4,3,6,4,7,4,4
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0327625,2.93033,1.168331,0.3932989999999999,11.6684319,3.0356,5.42077,0.3144169999999999,0.0488058,2.66903,0.1798091,3,1,1,1,1,2,3,6,0,1,3,4
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0328163999999999,2.91706,1.157033,0.3924829999999999,11.6792211,3.02852,5.44188,0.313698,0.0488648,2.66724,0.1790183,3,1,2,1,1,2,3,6,0,7,3,4
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0329837,2.91719,1.160088,0.388538,11.6902021,3.0386100000000003,5.43518,0.315608,0.0487726,2.67214,0.1798915,1,2,1,1,1,2,3,6,0,7,3,4
