scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_socio4_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.934502,6.314780000000002,12.52263,6.59417,9.6906918,0.466476,7.912999999999999,0.757333,0.407037,0.1468458,2,2,2,2,1,1,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.89665,6.2666900000000005,12.47467,6.539899999999999,9.5248055,0.466271,7.751849999999999,0.757138,0.4040539999999999,0.1454925,2,2,3,2,1,1,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.950916,6.35607,12.65468,6.615460000000001,9.8175877,0.467018,8.036010000000001,0.7590319999999999,0.408457,0.1470707,2,2,4,2,1,1,4,4,4,0,3,3,6,0,6,2,7
ssp_socio4_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.880557,6.21865,12.32083,6.53998,9.485401900000001,0.464884,7.71582,0.7529640000000001,0.405815,0.1459189,2,2,5,2,1,1,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag1_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.878614,6.27166,10.62765,6.4528300000000005,9.2667471,0.4644109999999999,7.5224,0.744483,0.402783,0.1326701,2,1,3,2,1,1,4,4,4,2,5,0,6,0,6,2,7
ssp_socio4_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.897102,6.20385,11.3805,6.51039,9.4943396,0.460454,7.745379999999999,0.7451829999999999,0.403601,0.1397216,2,1,5,2,1,1,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.984435,5.94499,10.29692,5.01131,8.4337618,0.414172,6.910589999999999,0.6246010000000001,0.383126,0.1012728,3,2,1,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.979156,5.90899,10.21033,5.02266,8.419546700000001,0.4125939999999999,6.899050000000001,0.6232310000000001,0.382854,0.1018177,3,2,2,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.941518,5.905810000000002,10.17086,5.00652,8.361276400000001,0.412401,6.84658,0.620031,0.379691,0.1025734,3,2,3,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.989361,5.94876,10.32118,5.03474,8.488146799999999,0.413299,6.9645600000000005,0.6246470000000001,0.383731,0.1019098,3,2,4,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.93188,5.83408,10.03622,4.98657,8.3703688,0.410036,6.85945,0.618775,0.380974,0.1011338,3,2,5,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.976542,5.936719999999998,10.19975,5.07094,8.4564753,0.411563,6.939959999999999,0.6216689999999999,0.381439,0.1018443,3,1,2,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.929448,5.83919,9.93792,5.00329,8.383779299999999,0.40892,6.877089999999999,0.617296,0.379907,0.1005663,3,1,5,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.991971,5.945869999999998,10.28601,5.00876,8.4806417,0.413977,6.95872,0.62388,0.382682,0.1013827,1,2,1,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.982154,5.9101300000000005,10.21179,5.01567,8.4659334,0.411994,6.947379999999999,0.622448,0.382288,0.1018234,1,2,2,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.948102,5.83438,10.18492,5.102729999999998,8.4269509,0.412613,6.91993,0.613954,0.379604,0.1008499,1,2,3,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.988447,5.9739,10.29015,5.25614,8.635298700000002,0.41563,7.1081400000000015,0.622164,0.38208,0.1072847,1,2,4,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.945703,5.8366,10.02227,4.97786,8.3927584,0.409489,6.8841600000000005,0.617808,0.38021,0.1010914,1,2,5,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwlo_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.987157,5.957599999999999,9.5438,4.9844,8.441594599999998,0.412042,6.933669999999999,0.617671,0.381497,0.0967146,1,1,1,2,1,2,4,4,5,2,5,6,1,3,3,2,7
ssp_socio4_ag2_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.975827,5.8961,10.21214,5.06759,8.5920903,0.408581,7.08391,0.617638,0.380609,0.1013523,1,1,2,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.936446,5.8881700000000015,9.50337,4.96624,8.280752,0.404315,6.79139,0.611097,0.377501,0.096449,1,1,3,2,1,2,4,4,5,2,5,6,1,3,3,2,7
ssp_socio4_ag2_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.949031,5.84765,9.97127,4.999969999999999,8.4944744,0.4082119999999999,6.98982,0.6157600000000001,0.378884,0.1017984,1,1,5,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.984479,5.9459800000000005,10.2959,5.01239,8.4368916,0.414531,6.91362,0.6243650000000001,0.3830719999999999,0.1013036,2,2,1,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.978738,5.90796,10.20808,5.02189,8.4244421,0.412447,6.90447,0.623027,0.38266,0.1018381,2,2,2,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.938065,5.9043,10.16986,5.00235,8.371777,0.414858,6.8588,0.616367,0.37982,0.101932,2,2,3,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.990741,5.9547500000000015,10.33005,5.03828,8.5166356,0.41323,6.9915400000000005,0.625627,0.383881,0.1023576,2,2,4,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.932364,5.833349999999999,10.03467,4.9858,8.37063,0.410062,6.85995,0.618607,0.380893,0.101118,2,2,5,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.974967,5.94771,10.19877,5.0876,8.496299,0.411113,6.97993,0.6214109999999999,0.381185,0.1026599999999999,2,1,2,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag2_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.908494,5.80236,9.4105,4.97652,8.228291400000002,0.408123,6.73533,0.6085109999999999,0.381677,0.0946504,2,1,3,2,1,2,4,2,5,2,5,6,1,3,3,2,7
ssp_socio4_ag2_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.929939,5.8412500000000005,9.94371,5.00406,8.4014616,0.409402,6.8949,0.616823,0.379716,0.1006206,2,1,5,2,1,2,4,4,5,2,5,6,6,3,6,2,7
ssp_socio4_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.255282,6.43496,12.13015,6.29516,9.5500085,0.489292,7.70827,0.798495,0.405449,0.1485025,3,2,1,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.240949,6.39499,12.03246,6.308859999999999,9.5305184,0.486537,7.6935,0.7964060000000001,0.4047219999999999,0.1493534,3,2,2,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.1991110000000003,6.35155,12.00842,6.26163,9.416915099999999,0.48612,7.58563,0.794701,0.402531,0.1479330999999999,3,2,3,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.285399,6.790839999999999,11.94121,6.41704,9.747233600000001,0.492906,7.883960000000001,0.805766,0.398686,0.1659156,3,2,4,2,1,5,4,4,4,0,3,3,6,0,6,2,7
ssp_socio4_ag5_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.183686,6.29747,11.84092,6.25924,9.408647199999999,0.48372,7.58173,0.791521,0.40317,0.1485062,3,2,5,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.2374210000000003,6.4325600000000005,12.03074,6.41907,9.669978300000002,0.484732,7.83725,0.795934,0.402694,0.1493683,3,1,2,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.22455,6.21959,10.84287,6.435790000000001,9.228949500000002,0.48193,7.422160000000001,0.782883,0.403846,0.1381305,3,1,3,2,1,5,4,4,4,2,3,0,6,0,6,2,7
ssp_socio4_ag5_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.173625,6.2952900000000005,11.05644,6.23606,9.328196699999998,0.482492,7.515919999999999,0.785269,0.4017679999999999,0.1427477,3,1,5,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.256134,6.42978,12.12391,6.297829999999999,9.6671179,0.48696,7.829169999999999,0.7974060000000001,0.404883,0.1486989,1,2,1,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.2430440000000003,6.39905,12.04303,6.2972,9.621309700000001,0.485745,7.7869,0.795234,0.40418,0.1492507,1,2,2,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.223545,6.31949,12.0301,6.31564,9.563874199999999,0.4896109999999999,7.72358,0.7955800000000001,0.403068,0.1520351999999999,1,2,3,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.264437,6.44094,12.16736,6.31696,9.7415757,0.486251,7.90278,0.7971429999999999,0.405879,0.1495227,1,2,4,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.192199,6.303229999999999,11.83893,6.24622,9.492797699999997,0.48296,7.6690299999999985,0.789957,0.402406,0.1484446999999999,1,2,5,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.249239,6.40527,12.17276,6.3941300000000005,9.826801600000001,0.487572,7.99291,0.7940640000000001,0.401451,0.1508046,1,1,2,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.189475,6.35555,10.31888,6.17146,9.261526499999999,0.482867,7.459339999999999,0.782442,0.400682,0.1361955,1,1,3,2,1,5,4,4,4,2,3,0,4,0,6,2,7
ssp_socio4_ag5_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.191879,6.3005200000000015,11.59034,6.29322,9.688664199999998,0.484377,7.870929999999999,0.7859109999999999,0.400359,0.1470872,1,1,5,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.259154,6.4013,11.96276,6.48345,9.700357199999997,0.489471,7.846839999999999,0.812623,0.399313,0.1521101999999999,2,2,1,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.246062,6.2201,12.12417,6.19413,9.4031438,0.487339,7.57465,0.7923530000000001,0.4077139999999999,0.1410878,2,2,2,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.185757,6.36656,12.01456,6.31033,9.4049861,0.483446,7.57949,0.7918810000000001,0.403093,0.1470761,2,2,3,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.25698,6.437049999999998,12.16498,6.32113,9.715474299999997,0.48615,7.8761899999999985,0.7975720000000001,0.406142,0.1494203,2,2,4,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.184919,6.30202,11.84875,6.25365,9.414653700000002,0.4842329999999999,7.58811,0.7908310000000001,0.403059,0.1484207,2,2,5,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.238246,6.4361,12.04178,6.4118200000000005,9.713251999999999,0.4844770000000001,7.8820299999999985,0.7950510000000001,0.402425,0.149269,2,1,2,2,1,5,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.205918,6.22842,10.50627,6.26511,9.1867964,0.479087,7.395119999999999,0.7777769999999999,0.403562,0.1312504,2,1,3,2,1,5,4,4,4,2,3,0,6,0,6,2,7
ssp_socio4_ag5_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.148313,6.27634,11.04906,6.16469,9.334012000000001,0.47697,7.5411800000000015,0.7703800000000001,0.404505,0.140977,2,1,5,2,1,5,4,4,4,0,3,0,6,0,6,2,7
