scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwhi_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.6919,2.348265,1.547986,0.0010182239999999,29.133884,0.634576,13.6599,12.55219,0.863316,0.302711,1.121191,3,1,4,1,2,3,5,4,2,6,2,1,4,3
ssp_ag3_soc5_gwhi_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,41.76826000000001,1.5756169999999998,1.7618220000000002,0.0015464989999999,29.019010100000003,0.472131,13.490077,12.66271,0.577836,0.3491220999999999,1.467134,3,1,4,2,2,3,5,4,2,6,2,6,7,3
ssp_ag3_soc5_gwhi_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.3817,1.963423,1.581861,0.001022017,28.304956,0.5850219999999999,13.988920000000002,11.62096,0.7095659999999999,0.305011,1.095477,3,1,5,1,2,3,5,4,2,6,2,6,7,3
ssp_ag3_soc5_gwlo_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,35.93445,0.323626,1.988224,0.001597372,24.918120799999997,0.2632207,14.545927,8.34912,0.059647,0.3628741,1.337332,1,2,2,2,2,3,5,1,5,1,5,3,7,3
ssp_ag3_soc5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.7533,2.440474,1.521607,0.001008565,29.339395500000002,0.6523,13.69666,12.66573,0.902516,0.3008235,1.121366,2,2,2,1,2,3,5,4,2,6,2,1,4,3
ssp_ag3_soc5_gwmed_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.615390000000005,2.575358,1.6188090000000002,0.001485999,31.5377303,0.607,12.988933,15.09001,0.995006,0.3399123000000001,1.516869,2,2,2,2,2,3,5,4,2,6,2,1,4,3
ssp_ag3_soc5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.9097,2.476315,1.522612,0.001014881,29.395464200000003,0.652138,13.59084,12.81675,0.91354,0.2999532,1.122243,2,1,2,1,2,3,5,4,2,6,2,1,4,3
ssp_ag3_soc5_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.46583,2.467851,1.635895,0.001497136,31.2811991,0.591137,12.939212,14.95715,0.943401,0.3400320999999999,1.5102669999999998,2,1,2,2,2,3,5,4,2,6,2,1,7,3
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.4778,2.337209,1.082716,0.000746174,31.3384175,0.535382,23.1038,6.21022,1.028803,0.311879,0.1483335,3,2,1,1,2,4,5,4,2,6,2,1,5,3
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.58711,2.930588,1.199951,0.001236989,31.7956967,0.527687,22.226836,7.0131000000000006,1.424649,0.373193,0.2302317,3,2,1,2,2,4,5,4,2,6,2,1,4,3
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,43.0402,2.514482,1.068921,0.000771165,31.8551858,0.558789,23.1129,6.587560000000001,1.125625,0.31214,0.1581717999999999,3,2,2,1,2,4,5,4,2,6,2,1,5,3
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.248470000000005,3.200615,1.182346,0.001251321,32.0937221,0.547566,21.951447,7.436139999999999,1.56443,0.372566,0.2215731,3,2,2,2,2,4,5,4,2,6,2,1,4,3
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,40.4289,1.569886,1.116038,0.000732726,30.303699200000004,0.450054,24.146320000000003,4.67131,0.622563,0.308858,0.1045942,3,2,3,1,2,4,5,4,2,1,2,6,7,3
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,23.32103,0.0,1.533564,0.000604334,28.054422000334,0.0,27.74016,1.05039e-10,2.28962e-10,0.314262,0.0,3,2,3,2,2,4,5,3,7,5,4,3,3,3
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.1976,2.0227310000000003,1.110353,0.000751786,31.167669800000002,0.5038779999999999,23.69478,5.65408,0.8671439999999999,0.315561,0.1322267999999999,3,2,4,1,2,4,5,4,2,6,2,6,7,3
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.1165,2.08488,1.255628,0.001221881,30.2726351,0.431358,22.982445,5.3718400000000015,0.953357,0.37456,0.1590751,3,2,4,2,2,4,5,4,2,6,2,6,7,3
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,40.9337,1.79265,1.097927,0.000736473,30.9320628,0.477688,24.07568,5.196940000000001,0.750163,0.311826,0.1197658,3,2,5,1,2,4,5,4,2,6,2,6,7,3
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,30.09525,0.0,1.464614,0.000894656,27.405615300181385,0.0346053,27.026849,0.0,1.81386e-10,0.344161,0.0,3,2,5,2,2,4,5,3,1,1,4,3,3,3
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.5826,2.361638,1.087638,0.000755033,31.291600499999994,0.536239,22.96354,6.2996,1.0308389999999998,0.311799,0.1495835,3,1,1,1,2,4,5,4,2,6,2,1,5,3
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.6752,2.908075,1.204124,0.00124508,31.4390545,0.514504,22.017161,6.939010000000001,1.391842,0.371737,0.2048005,3,1,1,2,2,4,5,4,2,6,2,1,4,3
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,43.1518,2.54511,1.072054,0.000779416,31.793218500000002,0.5596140000000001,22.97575,6.65603,1.13059,0.312312,0.1589225,3,1,2,1,2,4,5,4,2,6,2,1,5,3
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.32331,3.220193,1.184834,0.0012641389999999,32.0750045,0.5475180000000001,21.853203,7.513859999999998,1.565658,0.372289,0.2224765,3,1,2,2,2,4,5,4,2,6,2,1,4,3
ssp_ag4_soc5_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,40.5238,1.573934,1.1209870000000002,0.00073941,30.229884000000002,0.447837,24.04145,4.71229,0.6147020000000001,0.30894,0.104665,3,1,3,1,2,4,5,4,2,1,2,6,7,3
ssp_ag4_soc5_gwhi_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,23.58507,0.0,1.5380859999999998,0.000628829,27.929232000333442,0.0,27.61433,1.05113e-10,2.2833000000000003e-10,0.314902,0.0,3,1,3,2,2,4,5,3,7,5,4,3,3,3
ssp_ag4_soc5_gwhi_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.478,2.0733930000000003,1.117173,0.00076558,31.0242046,0.507864,23.33977,5.84119,0.8827440000000001,0.317438,0.1351986,3,1,4,1,2,4,5,4,2,6,2,6,7,3
ssp_ag4_soc5_gwhi_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.3707,2.154443,1.255758,0.00123648,30.336814300000004,0.437612,22.80084,5.57557,0.984978,0.374051,0.1637632999999999,3,1,4,2,2,4,5,4,2,6,2,6,7,3
ssp_ag4_soc5_gwhi_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,41.1015,1.816465,1.104028,0.000747003,30.715884199999998,0.480282,23.74141,5.3028,0.7561249999999999,0.314479,0.1207882,3,1,5,1,2,4,5,4,2,6,2,6,7,3
ssp_ag4_soc5_gwhi_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,31.16779,0.0,1.459591,0.000896762,27.14281280017463,0.0498668,26.744191,0.0,1.74629e-10,0.348755,0.0,3,1,5,2,2,4,5,3,5,1,4,3,3,3
ssp_ag4_soc5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,15.40825,0.0,1.413628,0.0,29.92693420103345,0.0,29.71275,3.79874e-10,6.5358e-10,0.2141842,0.0,1,2,1,1,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwlo_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,24.53856,0.0,1.517768,0.0006260819999999,27.67028300032741,0.0,27.35746,1.0356499999999999e-10,2.2384400000000003e-10,0.312823,0.0,1,2,1,2,2,4,5,3,7,5,4,3,3,3
ssp_ag4_soc5_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,24.3514,0.0,1.334153,0.000253952,28.549374250923783,0.00360325,28.28828,3.38129e-10,5.85652e-10,0.2574909999999999,0.0,1,2,2,1,2,4,5,3,7,5,4,3,3,3
ssp_ag4_soc5_gwlo_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,33.029650000000004,0.0,1.502338,0.000874307,27.001660300170936,0.0592903,26.591518,0.0,1.7093500000000002e-10,0.350852,0.0,1,2,2,2,2,4,5,1,5,1,4,3,3,3
ssp_ag4_soc5_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,12.94654,0.0,1.398321,0.0,30.178089901082558,0.0,29.9808,3.97309e-10,6.85247e-10,0.1972899,0.0,1,2,3,1,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwlo_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,22.082320000000003,0.0,1.5484440000000002,0.000540814,28.210533000347397,0.0,27.903240000000004,1.09041e-10,2.3835e-10,0.307293,0.0,1,2,3,2,2,4,5,3,3,0,4,3,3,3
ssp_ag4_soc5_gwlo_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,10.51711,0.0,1.455542,0.0,30.712917501142915,0.0,30.52848,4.21622e-10,7.212919999999998e-10,0.1844375,0.0,1,2,4,1,2,4,5,0,4,4,4,3,3,3
ssp_ag4_soc5_gwlo_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,19.82345,0.0,1.588283,0.000403895,28.437892000375545,0.0,28.14297,1.1818899999999995e-10,2.57358e-10,0.2949219999999999,0.0,1,2,4,2,2,4,5,3,3,4,4,3,3,3
ssp_ag4_soc5_gwlo_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,5.51604,0.0,1.429483,0.0,31.264112301203433,0.0,31.11916,4.44379e-10,7.59051e-10,0.1449522999999999,0.0,1,2,5,1,2,4,5,7,0,4,4,3,3,3
ssp_ag4_soc5_gwlo_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.34239,0.0,1.590915,7.34023e-05,29.168423000423587,0.0,28.90366,1.33252e-10,2.9033799999999993e-10,0.264763,0.0,1,2,5,2,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,15.94706,0.0,1.4303590000000002,0.0,29.46473340104583,0.0,29.25156,3.87936e-10,6.578959999999998e-10,0.2131733999999999,0.0,1,1,1,1,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwlo_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.15868,0.0,1.5555370000000002,0.0006483159999999,27.552589000328368,0.0,27.235547,1.0402099999999999e-10,2.24348e-10,0.317042,0.0,1,1,1,2,2,4,5,3,7,5,4,3,3,3
ssp_ag4_soc5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,24.69846,0.0,1.342789,0.000245253,28.3886750229293,0.001509022,28.13183,3.43071e-10,5.86225e-10,0.255336,0.0,1,1,2,1,2,4,5,3,7,5,4,3,3,3
ssp_ag4_soc5_gwlo_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,33.390390000000004,0.0,1.4691459999999998,0.001014433,26.69636580027009,0.0625962,26.252743,0.0325076,2.70093e-10,0.348519,0.0,1,1,2,2,2,4,5,1,5,1,4,3,3,3
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,13.62417,0.0,1.418868,0.0,29.923505301093243,0.0,29.72588,4.0577800000000005e-10,6.87468e-10,0.1976253,0.0,1,1,3,1,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,22.67721,0.0,1.5747999999999998,0.00051691,27.95157900035349,0.0,27.6441,1.11453e-10,2.42035e-10,0.307479,0.0,1,1,3,2,2,4,5,3,3,4,4,3,3,3
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,11.01372,0.0,1.475116,0.0,30.336339401155232,0.0,30.1534,4.30723e-10,7.245089999999997e-10,0.1829394,0.0,1,1,4,1,2,4,5,0,4,4,4,3,3,3
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,20.38226,0.0,1.6061230000000002,0.000417926,28.10884400038175,0.0,27.81602,1.20842e-10,2.60907e-10,0.292824,0.0,1,1,4,2,2,4,5,3,3,0,4,3,3,3
ssp_ag4_soc5_gwlo_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,5.92376,0.0,1.4469340000000002,0.0,30.90613510121622,0.0,30.76102,4.5274800000000005e-10,7.634720000000001e-10,0.1451151,0.0,1,1,5,1,2,4,5,7,0,4,4,3,3,3
ssp_ag4_soc5_gwlo_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.76801,0.0,1.6058020000000002,6.22514e-05,28.893432000429392,0.0,28.62929,1.35963e-10,2.9342900000000003e-10,0.264142,0.0,1,1,5,2,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,39.9461,1.257672,1.145375,0.000699388,29.648813099999998,0.40756,24.3487,4.03524,0.46121,0.30923,0.0868731,2,2,1,1,2,4,5,4,2,1,2,6,7,3
ssp_ag4_soc5_gwmed_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,24.52734,0.0,1.539196,0.00063342,27.923887000323653,0.0,27.606301,1.01912e-10,2.2174099999999998e-10,0.317586,0.0,2,2,1,2,2,4,5,3,7,5,4,3,3,3
ssp_ag4_soc5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.5509,2.264917,1.082964,0.0007642759999999,31.4469332,0.531467,23.35416,6.112299999999999,0.992241,0.311862,0.1449032,2,2,2,1,2,4,5,4,2,6,2,6,5,3
ssp_ag4_soc5_gwmed_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.7778,2.431891,1.22624,0.001234492,30.857409100000005,0.468734,22.668691,6.02202,1.145064,0.373162,0.1797381,2,2,2,2,2,4,5,4,2,6,2,1,4,3
ssp_ag4_soc5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,12.89591,0.0,1.397396,0.0,30.217533801080794,0.0,30.01983,3.96446e-10,6.84348e-10,0.1977038,0.0,2,2,3,1,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwmed_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,21.87928,0.0,1.54281,0.0004239109999999,28.152859000348165,0.0,27.84493,1.09512e-10,2.3865e-10,0.307929,0.0,2,2,3,2,2,4,5,3,3,0,4,3,3,3
ssp_ag4_soc5_gwmed_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,26.9854,0.0,1.335465,0.0003467159999999,28.471207500888823,0.0277415,28.17067,3.24558e-10,5.64265e-10,0.272796,0.0,2,2,4,1,2,4,5,3,1,3,1,3,3,3
ssp_ag4_soc5_gwmed_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,19.70382,0.0,1.586376,0.0003983609999999,28.5210050003748,0.0,28.22616,1.17682e-10,2.57117e-10,0.2948449999999999,0.0,2,2,4,2,2,4,5,3,3,4,4,3,3,3
ssp_ag4_soc5_gwmed_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,6.660660000000001,0.0,1.4223979999999998,0.0,31.276643801175062,0.0,31.12058,4.32969e-10,7.42093e-10,0.1560638,0.0,2,2,5,1,2,4,5,7,0,4,4,3,3,3
ssp_ag4_soc5_gwmed_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.26556,0.0,1.588937,7.43255e-05,29.235696000422465,0.0,28.97062,1.3278299999999998e-10,2.8968200000000004e-10,0.265076,0.0,2,2,5,2,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,40.2635,1.34183,1.148215,0.0007131819999999,29.6451072,0.416176,24.07355,4.2583,0.495506,0.309658,0.0919172,2,1,1,1,2,4,5,4,2,1,2,6,7,3
ssp_ag4_soc5_gwmed_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.24791,0.0,1.565654,0.000636961,27.86474200032454,0.0,27.545394,1.0187899999999999e-10,2.22658e-10,0.319348,0.0,2,1,1,2,2,4,5,3,7,5,4,3,3,3
ssp_ag4_soc5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.6837,2.2961,1.087168,0.000772309,31.3903602,0.532403,23.19102,6.21218,0.996561,0.311924,0.1462722,2,1,2,1,2,4,5,4,2,6,2,6,5,3
ssp_ag4_soc5_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.021,2.524756,1.225039,0.001250203,30.9585249,0.477084,22.483316,6.25486,1.185372,0.372888,0.1850049,2,1,2,2,2,4,5,4,2,6,2,1,4,3
ssp_ag4_soc5_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,13.22878,0.0,1.418049,0.0,29.747482901095317,0.0,29.54284,4.06306e-10,6.890080000000001e-10,0.2046429,0.0,2,1,3,1,2,4,5,0,6,4,4,3,3,3
ssp_ag4_soc5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,22.1283,0.0,1.554414,0.000551485,28.065857000350743,0.0,27.75934,1.10481e-10,2.40258e-10,0.306517,0.0,2,1,3,2,2,4,5,3,3,0,4,3,3,3
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,28.0494,0.0,1.340736,0.0003857569999999,28.067676800884314,0.0395938,27.7513,3.2452999999999996e-10,5.59783e-10,0.276783,0.0,2,1,4,1,2,4,5,3,1,3,4,3,3,3
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,19.96329,0.0,1.597274,0.000414958,28.284062000377084,0.0,27.989590000000003,1.1886900000000002e-10,2.5821299999999995e-10,0.2944719999999999,0.0,2,1,4,2,2,4,5,3,3,4,4,3,3,3
ssp_ag4_soc5_gwmed_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,8.009630000000001,0.0,1.4280810000000002,0.0,30.915123201159865,0.0,30.74827,4.2878899999999997e-10,7.31077e-10,0.1668532,0.0,2,1,5,1,2,4,5,7,0,4,4,3,3,3
ssp_ag4_soc5_gwmed_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.41923,0.0,1.596564,9.002129999999999e-05,29.07554900042393,0.0,28.81017,1.33602e-10,2.90329e-10,0.265379,0.0,2,1,5,2,2,4,5,0,6,4,4,3,3,3
