scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag2_soc3_gwlo_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02646168,2.485339,0.906892,0.406472,9.532795400000001,2.163713,4.774559,0.2568117,0.0408499,2.106809,0.1900528,1,1,4,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02646781,2.480445,0.8940219999999999,0.405372,9.6592515,2.172992,4.877059,0.25532,0.0411207,2.121946,0.1908138,1,1,5,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02569721,2.466003,0.905751,0.40527,9.6698872,2.169227,4.894309,0.2456804,0.0410781,2.130205,0.1893877,2,2,1,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02585966,2.458768,0.8987379999999999,0.404797,9.7055736,2.178121,4.922313,0.2452784,0.0410571,2.129308,0.1894961,2,2,2,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02512053,2.426393,0.8851849999999999,0.39996,9.5810128,2.1485320000000003,4.865493,0.238005,0.0405696999999999,2.101718,0.1866951,2,2,3,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02549509,2.441875,0.896495,0.401895,9.5263501,2.146588,4.800777,0.2467456,0.0405533999999999,2.104043,0.1876431,2,2,4,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02550613,2.436023,0.884301,0.401167,9.6871285,2.164199,4.935677,0.2407828999999999,0.0408601,2.117173,0.1884365,2,2,5,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02588907,2.484024,0.911752,0.4085720000000001,9.6357138,2.175797,4.848194,0.2528154,0.0411926,2.127379,0.1903358,2,1,1,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02602391,2.475923,0.903986,0.407582,9.665740399999999,2.177935,4.877571,0.2526704,0.0411972,2.126105,0.1902617999999999,2,1,2,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02541978,2.453096,0.8946559999999999,0.403895,9.5244311,2.155611,4.791028,0.24927,0.0407393,2.09955,0.1882328,2,1,3,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02581698,2.465802,0.906456,0.4052389999999999,9.510621,2.154175,4.768699,0.2534901,0.0407921,2.104182,0.1892828,2,1,4,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02570967,2.458275,0.8919190000000001,0.404219,9.6643293,2.172242,4.889621,0.2506469,0.0409757,2.12089,0.1899537,2,1,5,2,2,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02584585,2.508389,0.922324,0.4111229999999999,9.7399185,2.184216,4.93326,0.2459895,0.041264,2.143666,0.191523,3,2,1,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02595195,2.501641,0.916729,0.410246,9.777065899999998,2.190353,4.964045,0.2455603999999999,0.0412136999999999,2.1442900000000003,0.1916038,3,2,2,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0252369,2.469151,0.907417,0.405996,9.666183299999998,2.169288,4.903251999999999,0.2409755,0.040788,2.12261,0.1892698,3,2,3,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02570552,2.493814,0.917373,0.408588,9.620074100000002,2.167842,4.845966000000001,0.2504135,0.0408125,2.124565,0.1904751,3,2,4,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02557553,2.482773,0.906156,0.407073,9.7870197,2.187671,4.982235,0.2445377,0.0410578,2.140181,0.1913372,3,2,5,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02611635,2.541494,0.933344,0.416685,9.721610200000002,2.195033,4.88808,0.2567744,0.0413889999999999,2.147296,0.1930378,3,1,1,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02620993,2.535708,0.926744,0.415477,9.7563685,2.1967920000000003,4.9209640000000014,0.2565471,0.0414233,2.14762,0.1930221,3,1,2,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02553992,2.500523,0.917608,0.411685,9.614677299999999,2.171875,4.837448999999999,0.2517274,0.0409879,2.121952,0.190686,3,1,3,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02601637,2.521688,0.927425,0.414481,9.608067700000001,2.178867,4.815092,0.2573341,0.0410282,2.123871,0.1918754,3,1,4,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwhi_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02572363,2.49601,0.91144,0.410228,9.758543999999999,2.186391,4.950659,0.2498225,0.0411876999999999,2.138408,0.1920758,3,1,5,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02636569,2.536598,0.92813,0.413168,9.7829122,2.206558,4.934327,0.2539654,0.0413128,2.153681,0.193068,1,2,1,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02625122,2.517727,0.920219,0.411513,9.757934699999998,2.194145,4.931843,0.2525435,0.0412699,2.1458760000000003,0.1922573,1,2,2,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02561899,2.483737,0.909334,0.407072,9.6516044,2.172464,4.877882,0.2467244999999999,0.0408607,2.12375,0.1899232,1,2,3,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0262472,2.512678,0.920108,0.4097850000000001,9.624712200000001,2.169724,4.8418470000000005,0.2542167999999999,0.0409495,2.126644,0.1913309,1,2,4,2,1,2,3,1,0,3,7,6,7,0,3
