scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag3_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.867560000000003,1.07007,1.323346,1.970932,5.5473623000000005,0.51254,0.3367035,1.588118,0.0937808,2.3761970000000003,0.640023,3,1,1,1,2,3,3,6,2,4,7,7
ssp_ag3_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.882960000000001,1.057854,1.295863,2.250302,5.778271,0.442401,0.325479,1.765673,0.092597,2.379136,0.772985,3,1,1,2,2,3,3,1,2,1,7,7
ssp_ag3_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.05598,1.091036,1.343551,2.012772,5.6581893,0.522453,0.3447035999999999,1.619182,0.0959027,2.424835,0.651113,3,1,2,1,2,3,3,6,2,4,7,7
ssp_ag3_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.973929999999998,1.0643479999999998,1.299816,2.265545,5.8274798,0.446013,0.3297707,1.7787769999999998,0.0935569,2.399914,0.7794481999999999,3,1,2,2,2,3,3,1,2,1,7,7
ssp_ag3_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.19753,1.114858,1.371394,2.062268,5.7745471,0.534241,0.3521077,1.651145,0.0981134,2.472248,0.6666920000000001,3,1,3,1,2,3,3,6,2,4,7,7
ssp_ag3_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.97133,1.073352,1.3091309999999998,2.288735,5.870010199999999,0.449567,0.3320768,1.792372,0.0942924,2.415828,0.785874,3,1,3,2,2,3,3,1,2,1,7,7
ssp_ag3_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.9125,1.069732,1.324658,1.988095,5.5571657000000005,0.511676,0.3359127999999999,1.596772,0.0939669,2.377193,0.641645,3,1,4,1,2,3,3,6,2,4,7,7
ssp_ag3_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.92985,1.059739,1.298231,2.261944,5.7896066,0.441356,0.3252385,1.7758509999999998,0.0930621,2.378531,0.775568,3,1,4,2,2,3,3,1,2,1,7,7
ssp_ag3_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.00061,1.085803,1.338909,2.012738,5.669130699999999,0.522562,0.34504,1.623386,0.0957067,2.429102,0.6533340000000001,3,1,5,1,2,3,3,6,2,4,7,7
ssp_ag3_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.923959999999999,1.062334,1.293787,2.263783,5.8385494,0.447017,0.3302966,1.7843669999999998,0.0934821,2.401817,0.7815696999999999,3,1,5,2,2,3,3,1,2,1,7,7
