scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwlo_exp_miroc_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.3479879999999995,3.5321,25.50931,0.000870437,14.9202374,8.27425,2.555354,3.25785,0.1181523999999999,0.714631,1,2,4,1,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_exp_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.033378,3.5870260000000003,24.60924,0.001109823,14.7109432,7.635280000000001,2.924433,3.12773,0.119063,0.9044372,1,2,4,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_exp_noresm_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.361698,3.5479800000000004,25.43957,0.000873838,15.022673099999999,8.34901,2.5597,3.27626,0.1186221,0.7190810000000001,1,2,5,1,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_exp_noresm_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.044376,3.5934470000000003,24.5058,0.00111035,14.7663082,7.68451,2.909704,3.144609,0.1196168,0.9078684,1,2,5,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.418693,3.43471,25.21234,0.000863552,15.0229337,8.317829999999999,2.618363,3.24662,0.1185047,0.7216159999999999,1,1,1,1,2,3,5,3,2,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_gfdl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.087893,3.5509480000000004,24.48144,0.001105163,14.7353692,7.6324,2.959426,3.119507,0.11897,0.9050662,1,1,1,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.399197,3.41186,25.01957,0.0008596869999999,14.967073000000003,8.292810000000001,2.596667,3.24454,0.118157,0.714899,1,1,2,1,2,3,5,3,2,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_hadgem_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.075002,3.538838,24.45176,0.001103989,14.7223419,7.63245,2.950064,3.11783,0.1189803,0.9030176,1,1,2,2,2,3,5,3,5,0,6,5,0,4,1,4
ssp_ag3_soc5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.416465,3.5564,25.46458,0.00087762,14.979877500000002,8.307260000000001,2.58467,3.25497,0.1176285,0.715349,1,1,3,1,2,3,5,3,2,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_ipsl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.101631,3.59853,24.55718,0.001112658,14.7366362,7.63559,2.951784,3.126347,0.1189661,0.9039491,1,1,3,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_miroc_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.4202980000000003,3.44641,25.20616,0.00086245,14.891843499999997,8.229519999999999,2.604396,3.22585,0.1176035,0.7144739999999999,1,1,4,1,2,3,5,3,2,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.106584,3.588911,24.6187,0.001109749,14.697011,7.59845,2.965106,3.112678,0.1183029,0.9024741,1,1,4,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_noresm_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.429645,3.3743800000000004,24.79072,0.000855178,14.984777099999999,8.30223,2.59907,3.24459,0.1187641,0.720123,1,1,5,1,2,3,5,3,2,0,6,5,0,4,7,4
ssp_ag3_soc5_gwlo_rs_noresm_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.0942380000000003,3.517963,24.21177,0.001099564,14.729256099999997,7.629169999999999,2.958883,3.116589,0.1190793,0.9055348,1,1,5,2,2,3,5,3,5,0,6,5,5,4,1,4
ssp_ag3_soc5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.3402199999999995,3.56286,25.75618,0.00087723,15.0709932,8.387089999999999,2.551428,3.29082,0.1191372,0.722518,2,2,1,1,2,3,5,3,5,0,6,5,0,4,7,4
