Statistic,Value
Mean Annual Scarcity,1.3360555139019377
Mean Variability,19.391218733333336
Mean Surplus Capacity,8.442210999999999
Mean Deficit Severity,10.949007733333335
Mean Storage Adequacy,0.8099300118089154
Storage Adequacy Points Distribution,[ 23 752 225]
