5.870,8.959,13.540,16.957,15.133,8.365,5.518,4.758,2.748,2.228,2.818,4.114
6.178,8.859,12.295,15.075,13.751,7.468,4.980,4.438,2.314,1.633,2.262,3.488
5.162,8.503,13.063,16.768,13.702,7.420,4.893,4.351,3.214,1.746,1.991,3.331
5.350,8.082,11.449,15.040,13.122,7.104,5.150,5.756,5.188,2.595,2.806,3.814
5.404,8.551,11.892,14.860,13.113,7.251,5.541,7.519,3.571,2.474,2.633,3.883
5.885,8.931,12.998,15.903,13.573,7.305,5.116,5.767,2.952,2.256,2.850,4.525
5.779,8.653,13.229,16.038,14.818,7.641,4.902,3.680,2.092,2.131,2.439,3.424
5.164,7.895,12.516,15.289,13.162,7.149,6.819,7.548,4.761,3.659,3.002,3.892
5.628,8.694,12.039,15.126,13.409,7.242,5.259,6.224,3.552,2.292,2.401,3.621
5.258,9.044,13.870,16.888,13.512,7.179,5.225,5.971,4.995,2.782,2.658,4.319
6.043,9.864,13.801,16.938,14.099,7.453,4.962,4.007,3.956,2.474,2.490,3.631
5.477,9.144,13.361,16.613,13.731,7.330,5.053,5.137,10.855,4.429,3.340,3.988
5.277,7.803,12.944,16.523,13.240,7.284,6.477,4.616,2.649,1.755,2.093,3.251
5.016,8.079,11.526,15.324,13.191,7.098,5.792,6.607,4.932,2.597,2.684,4.209
5.910,8.729,12.644,16.333,13.516,7.303,6.632,10.274,6.989,3.766,3.024,3.637
5.377,8.003,12.080,16.233,13.391,7.432,5.153,5.731,3.550,2.406,2.285,3.358
5.272,8.160,11.786,15.598,13.473,7.266,5.166,10.021,7.563,3.380,2.976,3.943
5.259,8.482,12.910,15.640,13.556,7.222,4.954,4.028,4.511,3.275,2.822,3.823
5.434,7.862,11.722,14.684,13.016,7.108,5.146,6.413,4.038,2.717,2.994,3.771
5.343,8.268,11.576,14.658,12.934,7.220,6.682,9.394,5.570,3.060,2.991,3.717
5.295,8.352,12.013,14.917,13.076,7.567,7.142,7.422,4.071,2.531,2.777,3.660
5.227,8.425,11.955,14.796,13.086,7.284,4.970,4.932,4.366,2.526,2.622,3.702
5.621,8.635,12.211,15.179,13.522,7.205,4.955,4.497,3.752,2.828,2.922,3.844
5.473,9.122,11.809,14.885,13.256,7.200,4.995,4.984,3.448,3.433,3.227,3.924
5.730,9.174,11.743,15.171,13.219,7.157,4.955,3.997,2.677,2.058,2.568,3.826
5.036,8.016,11.872,14.678,12.909,7.114,6.322,9.707,6.457,3.358,3.601,4.980
5.808,8.346,13.046,15.452,13.229,7.358,5.461,5.266,4.040,2.653,3.058,3.782
5.296,8.630,11.502,14.964,13.056,7.359,6.004,7.773,4.401,2.987,3.001,3.975
5.081,9.139,12.741,16.735,13.573,7.274,4.785,3.742,2.383,1.822,2.278,3.536
5.656,8.461,11.425,14.610,13.354,7.765,5.511,8.127,4.345,2.632,2.629,3.766
